year;STATE;COUNTY
2009;California;Mariposa
2012;Utah;Washington
2018;Arizona;Coconino
2011;Arizona;Coconino
2017;Arizona;Coconino
2017;Arizona;Coconino
2011;Arizona;Coconino
2017;Arizona;Yavapai
2018;Arizona;Maricopa
2016;Arizona;Maricopa
2019;Arizona;Pima
2019;Arizona;Pima
2019;Arizona;Pima
2019;Arizona;Pima
2019;Arizona;Pima
2019;Arizona;Pima
2019;Arizona;Pima
2013;Arizona;Pima
2019;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2014;Arizona;Pima
2017;Arizona;Pima
2016;Arizona;Pima
2019;Arizona;Pima
2018;Arizona;Pima
2018;Arizona;Pima
2018;Arizona;Pima
2014;Arizona;Pima
2015;Arizona;Pima
2018;Arizona;Pima
2018;Arizona;Pima
2018;Arizona;Pima
2017;Arizona;Pima
2018;Arizona;Pima
2018;Arizona;Pima
2017;Arizona;Pima
2018;Arizona;Pima
2018;Arizona;Pima
2018;Arizona;Pima
2018;Arizona;Pima
2018;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2017;Arizona;Pima
2014;Arizona;Pima
2017;Arizona;Pima
2015;Arizona;Pima
2016;Arizona;Pima
2016;Arizona;Pima
2014;Arizona;Pima
2016;Arizona;Pima
2015;Arizona;Pima
2015;Arizona;Pima
2016;Arizona;Pima
2016;Arizona;Pima
2016;Arizona;Pima
2016;Arizona;Pima
2016;Arizona;Pima
2016;Arizona;Pima
2015;Arizona;Pima
2016;Arizona;Pima
2016;Arizona;Pima
2016;Arizona;Pima
2009;Arizona;Pima
2016;Arizona;Pima
2016;Arizona;Pima
2016;Arizona;Pima
2016;Arizona;Pima
1975;Arizona;Pima
1975;Arizona;Pima
1975;Arizona;Pima
1975;Arizona;Pima
1965;Arizona;Pima
1965;Arizona;Pima
1966;Arizona;Pima
2016;Arizona;Pima
2016;Arizona;Pima
2015;Arizona;Pima
2015;Arizona;Pima
2015;Arizona;Pima
1972;Arizona;Pima
2014;Arizona;Pima
2013;Arizona;Pima
2012;Arizona;Pima
2018;Montana;Flathead
2018;Montana;Flathead
2018;Montana;Flathead
2018;Montana;Flathead
2018;Montana;Flathead
2018;Montana;Flathead
2018;Montana;Flathead
2018;Montana;Flathead
2018;Montana;Flathead
2018;Montana;Flathead
2018;Montana;Flathead
2018;Montana;Flathead
2018;Montana;Flathead
2018;Montana;Flathead
2017;Montana;Flathead
2016;Montana;Flathead
2017;Montana;Flathead
2017;Montana;Flathead
2016;Montana;Flathead
2017;Montana;Flathead
2017;Montana;Flathead
2017;Montana;Flathead
2015;Montana;Flathead
2015;Montana;Flathead
