"","State","Year","avg_temp_C"
"1","Alabama",1980,16.944
"2","Alabama",1981,16.667
"3","Alabama",1982,17.389
"4","Alabama",1983,16.222
"5","Alabama",1984,17.111
"6","Alabama",1985,17.111
"7","Alabama",1986,17.833
"8","Alabama",1987,17.222
"9","Alabama",1988,16.722
"10","Alabama",1989,16.778
"11","Alabama",1990,18.278
"12","Alabama",1991,17.778
"13","Alabama",1992,16.722
"14","Alabama",1993,16.833
"15","Alabama",1994,17.222
"16","Alabama",1995,17.222
"17","Alabama",1996,16.722
"18","Alabama",1997,16.889
"19","Alabama",1998,18.389
"20","Alabama",1999,17.833
"21","Alabama",2000,17.556
"22","Alabama",2001,17.222
"23","Alabama",2002,17.556
"24","Alabama",2003,17.056
"25","Alabama",2004,17.389
"26","Alabama",2005,17.444
"27","Alabama",2006,17.889
"28","Alabama",2007,18
"29","Alabama",2008,17.167
"30","Alabama",2009,17.167
"31","Alabama",2010,17.056
"32","Alabama",2011,17.667
"33","Alabama",2012,18.278
"34","Alabama",2013,17
"35","Alabama",2014,16.667
"36","Alabama",2015,18.111
"37","Alabama",2016,18.5
"38","Alabama",2017,18.333
"39","Alabama",2018,18.056
"40","Arizona",1980,15.667
"41","Arizona",1981,16.278
"42","Arizona",1982,14.833
"43","Arizona",1983,15.111
"44","Arizona",1984,15.222
"45","Arizona",1985,15.333
"46","Arizona",1986,15.889
"47","Arizona",1987,15.167
"48","Arizona",1988,15.667
"49","Arizona",1989,16.222
"50","Arizona",1990,15.389
"51","Arizona",1991,15.111
"52","Arizona",1992,15.333
"53","Arizona",1993,15.444
"54","Arizona",1994,15.889
"55","Arizona",1995,16.111
"56","Arizona",1996,16.611
"57","Arizona",1997,15.833
"58","Arizona",1998,15.167
"59","Arizona",1999,16
"60","Arizona",2000,16.5
"61","Arizona",2001,16.222
"62","Arizona",2002,16.222
"63","Arizona",2003,16.611
"64","Arizona",2004,15.778
"65","Arizona",2005,16.167
"66","Arizona",2006,16.167
"67","Arizona",2007,16.444
"68","Arizona",2008,15.889
"69","Arizona",2009,16.167
"70","Arizona",2010,15.778
"71","Arizona",2011,15.722
"72","Arizona",2012,16.722
"73","Arizona",2013,15.778
"74","Arizona",2014,16.778
"75","Arizona",2015,16.556
"76","Arizona",2016,16.778
"77","Arizona",2017,17.222
"78","Arizona",2018,16.833
"79","Arkansas",1980,15.833
"80","Arkansas",1981,15.667
"81","Arkansas",1982,15.556
"82","Arkansas",1983,14.944
"83","Arkansas",1984,15.556
"84","Arkansas",1985,15.444
"85","Arkansas",1986,16.389
"86","Arkansas",1987,16.111
"87","Arkansas",1988,15.444
"88","Arkansas",1989,15
"89","Arkansas",1990,16.556
"90","Arkansas",1991,16.278
"91","Arkansas",1992,15.5
"92","Arkansas",1993,15.167
"93","Arkansas",1994,15.778
"94","Arkansas",1995,15.833
"95","Arkansas",1996,15.333
"96","Arkansas",1997,15.389
"97","Arkansas",1998,17.278
"98","Arkansas",1999,16.722
"99","Arkansas",2000,16.056
"100","Arkansas",2001,16.222
"101","Arkansas",2002,15.889
"102","Arkansas",2003,15.722
"103","Arkansas",2004,16.111
"104","Arkansas",2005,16.667
"105","Arkansas",2006,16.667
"106","Arkansas",2007,16.556
"107","Arkansas",2008,15.5
"108","Arkansas",2009,15.5
"109","Arkansas",2010,16.222
"110","Arkansas",2011,16.556
"111","Arkansas",2012,17.556
"112","Arkansas",2013,15.333
"113","Arkansas",2014,14.833
"114","Arkansas",2015,16.333
"115","Arkansas",2016,17.111
"116","Arkansas",2017,16.944
"117","Arkansas",2018,16.167
"118","California",1980,14.5
"119","California",1981,15.167
"120","California",1982,13.5
"121","California",1983,14.222
"122","California",1984,14.556
"123","California",1985,14.056
"124","California",1986,14.944
"125","California",1987,14.611
"126","California",1988,14.889
"127","California",1989,14.5
"128","California",1990,14.444
"129","California",1991,14.5
"130","California",1992,15.167
"131","California",1993,14.278
"132","California",1994,14.444
"133","California",1995,14.944
"134","California",1996,15.333
"135","California",1997,15.056
"136","California",1998,13.722
"137","California",1999,14.444
"138","California",2000,14.889
"139","California",2001,15.056
"140","California",2002,14.889
"141","California",2003,15.222
"142","California",2004,14.944
"143","California",2005,14.778
"144","California",2006,14.778
"145","California",2007,14.944
"146","California",2008,14.944
"147","California",2009,14.889
"148","California",2010,14.278
"149","California",2011,14.111
"150","California",2012,15.278
"151","California",2013,15.167
"152","California",2014,16.333
"153","California",2015,16
"154","California",2016,15.611
"155","California",2017,15.722
"156","California",2018,15.611
"157","Colorado",1980,7.556
"158","Colorado",1981,8.389
"159","Colorado",1982,6.722
"160","Colorado",1983,6.889
"161","Colorado",1984,6.5
"162","Colorado",1985,6.722
"163","Colorado",1986,7.944
"164","Colorado",1987,7.333
"165","Colorado",1988,7.278
"166","Colorado",1989,7.444
"167","Colorado",1990,7.556
"168","Colorado",1991,7.222
"169","Colorado",1992,7.389
"170","Colorado",1993,6.556
"171","Colorado",1994,8.056
"172","Colorado",1995,7.611
"173","Colorado",1996,7.667
"174","Colorado",1997,7.111
"175","Colorado",1998,7.889
"176","Colorado",1999,8.111
"177","Colorado",2000,8.333
"178","Colorado",2001,8.222
"179","Colorado",2002,7.833
"180","Colorado",2003,8.333
"181","Colorado",2004,7.667
"182","Colorado",2005,8.222
"183","Colorado",2006,8.056
"184","Colorado",2007,7.889
"185","Colorado",2008,7.167
"186","Colorado",2009,7.333
"187","Colorado",2010,7.889
"188","Colorado",2011,7.444
"189","Colorado",2012,9.056
"190","Colorado",2013,7.278
"191","Colorado",2014,7.833
"192","Colorado",2015,8.556
"193","Colorado",2016,8.5
"194","Colorado",2017,8.833
"195","Colorado",2018,8.389
"196","Connecticut",1980,8.833
"197","Connecticut",1981,9.111
"198","Connecticut",1982,8.833
"199","Connecticut",1983,9.667
"200","Connecticut",1984,9.444
"201","Connecticut",1985,9.278
"202","Connecticut",1986,9.167
"203","Connecticut",1987,9.333
"204","Connecticut",1988,9.056
"205","Connecticut",1989,8.833
"206","Connecticut",1990,10.611
"207","Connecticut",1991,10.556
"208","Connecticut",1992,8.722
"209","Connecticut",1993,9.222
"210","Connecticut",1994,9.389
"211","Connecticut",1995,9.444
"212","Connecticut",1996,9.111
"213","Connecticut",1997,9.222
"214","Connecticut",1998,10.889
"215","Connecticut",1999,10.444
"216","Connecticut",2000,9.167
"217","Connecticut",2001,10.111
"218","Connecticut",2002,10.278
"219","Connecticut",2003,9
"220","Connecticut",2004,9.333
"221","Connecticut",2005,9.722
"222","Connecticut",2006,10.611
"223","Connecticut",2007,9.722
"224","Connecticut",2008,9.833
"225","Connecticut",2009,9.333
"226","Connecticut",2010,10.778
"227","Connecticut",2011,10.5
"228","Connecticut",2012,11.389
"229","Connecticut",2013,9.889
"230","Connecticut",2014,9.278
"231","Connecticut",2015,9.889
"232","Connecticut",2016,11
"233","Connecticut",2017,10.5
"234","Connecticut",2018,10.389
"235","Delaware",1980,12.278
"236","Delaware",1981,12
"237","Delaware",1982,12.222
"238","Delaware",1983,12.722
"239","Delaware",1984,12.611
"240","Delaware",1985,12.944
"241","Delaware",1986,12.833
"242","Delaware",1987,12.722
"243","Delaware",1988,12.278
"244","Delaware",1989,12.333
"245","Delaware",1990,14
"246","Delaware",1991,13.833
"247","Delaware",1992,12.167
"248","Delaware",1993,12.667
"249","Delaware",1994,12.778
"250","Delaware",1995,12.833
"251","Delaware",1996,12.222
"252","Delaware",1997,12.667
"253","Delaware",1998,14.111
"254","Delaware",1999,13.611
"255","Delaware",2000,12.611
"256","Delaware",2001,13.389
"257","Delaware",2002,14
"258","Delaware",2003,12.556
"259","Delaware",2004,13.222
"260","Delaware",2005,13.167
"261","Delaware",2006,14.056
"262","Delaware",2007,13.5
"263","Delaware",2008,13.5
"264","Delaware",2009,13
"265","Delaware",2010,13.722
"266","Delaware",2011,14.111
"267","Delaware",2012,14.722
"268","Delaware",2013,13.222
"269","Delaware",2014,12.611
"270","Delaware",2015,13.556
"271","Delaware",2016,14.111
"272","Delaware",2017,14.222
"273","Delaware",2018,13.889
"274","Florida",1980,21.056
"275","Florida",1981,20.722
"276","Florida",1982,21.944
"277","Florida",1983,20.722
