Idaho, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,43.3,0.7
198112,44.3,1.7
198212,41.0,-1.6
198312,42.9,0.3
198412,40.8,-1.8
198512,39.7,-2.9
198612,44.1,1.5
198712,44.5,1.9
198812,44.2,1.6
198912,42.8,0.2
199012,43.5,0.9
199112,43.3,0.7
199212,45.0,2.4
199312,40.9,-1.7
199412,44.3,1.7
199512,43.6,1.0
199612,43.2,0.6
199712,43.2,0.6
199812,44.3,1.7
199912,43.6,1.0
200012,43.9,1.3
200112,44.2,1.6
200212,43.0,0.4
200312,45.4,2.8
200412,44.2,1.6
200512,43.6,1.0
200612,44.2,1.6
200712,44.8,2.2
200812,42.5,-0.1
200912,42.8,0.2
201012,43.3,0.7
201112,42.4,-0.2
201212,45.1,2.5
201312,43.7,1.1
201412,45.1,2.5
201512,46.4,3.8
201612,45.1,2.5
201712,44.3,1.7
201812,44.5,1.9
