Kentucky, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,54.6,-0.9
198112,54.3,-1.2
198212,55.3,-0.2
198312,55.0,-0.5
198412,55.3,-0.2
198512,55.0,-0.5
198612,56.6,1.1
198712,56.5,1.0
198812,54.8,-0.7
198912,54.3,-1.2
199012,57.3,1.8
199112,57.4,1.9
199212,55.1,-0.4
199312,55.0,-0.5
199412,55.4,-0.1
199512,55.4,-0.1
199612,54.4,-1.1
199712,54.5,-1.0
199812,58.2,2.7
199912,57.3,1.8
200012,55.7,0.2
200112,56.6,1.1
200212,56.8,1.3
200312,55.2,-0.3
200412,56.4,0.9
200512,56.8,1.3
200612,56.8,1.3
200712,57.7,2.2
200812,55.4,-0.1
200912,55.4,-0.1
201012,56.0,0.5
201112,56.9,1.4
201212,58.4,2.9
201312,55.0,-0.5
201412,54.3,-1.2
201512,56.6,1.1
201612,57.9,2.4
201712,57.8,2.3
201812,57.0,1.5
