Nevada, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,50.4,0.9
198112,51.8,2.3
198212,48.1,-1.4
198312,49.5,0.0
198412,48.8,-0.7
198512,48.7,-0.8
198612,51.4,1.9
198712,50.6,1.1
198812,50.7,1.2
198912,50.1,0.6
199012,50.0,0.5
199112,49.9,0.4
199212,51.4,1.9
199312,48.6,-0.9
199412,50.8,1.3
199512,50.9,1.4
199612,51.5,2.0
199712,50.6,1.1
199812,49.2,-0.3
199912,50.6,1.1
200012,51.5,2.0
200112,51.6,2.1
200212,50.8,1.3
200312,52.2,2.7
200412,50.8,1.3
200512,50.7,1.2
200612,50.8,1.3
200712,51.5,2.0
200812,50.4,0.9
200912,50.4,0.9
201012,50.0,0.5
201112,49.6,0.1
201212,52.4,2.9
201312,50.5,1.0
201412,53.0,3.5
201512,52.9,3.4
201612,51.9,2.4
201712,52.2,2.7
201812,52.0,2.5
