North Dakota, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,41.2,1.5
198112,43.2,3.5
198212,37.8,-1.9
198312,41.1,1.4
198412,41.0,1.3
198512,38.2,-1.5
198612,41.7,2.0
198712,45.0,5.3
198812,42.4,2.7
198912,39.4,-0.3
199012,42.6,2.9
199112,42.3,2.6
199212,41.2,1.5
199312,38.3,-1.4
199412,40.0,0.3
199512,39.6,-0.1
199612,36.5,-3.2
199712,40.7,1.0
199812,43.2,3.5
199912,43.0,3.3
200012,41.1,1.4
200112,42.2,2.5
200212,41.0,1.3
200312,40.8,1.1
200412,40.5,0.8
200512,42.4,2.7
200612,43.8,4.1
200712,41.8,2.1
200812,39.3,-0.4
200912,38.5,-1.2
201012,40.9,1.2
201112,40.7,1.0
201212,44.1,4.4
201312,38.8,-0.9
201412,39.0,-0.7
201512,43.4,3.7
201612,44.4,4.7
201712,42.0,2.3
201812,39.8,0.1
