Pennsylvania, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,47.3,-0.8
198112,47.5,-0.6
198212,47.9,-0.2
198312,48.7,0.6
198412,48.2,0.1
198512,48.5,0.4
198612,48.8,0.7
198712,49.2,1.1
198812,48.1,0.0
198912,47.5,-0.6
199012,50.7,2.6
199112,50.7,2.6
199212,47.6,-0.5
199312,48.2,0.1
199412,48.0,-0.1
199512,48.5,0.4
199612,47.6,-0.5
199712,48.0,-0.1
199812,51.8,3.7
199912,50.0,1.9
200012,48.5,0.4
200112,49.9,1.8
200212,50.3,2.2
200312,48.0,-0.1
200412,49.1,1.0
200512,49.5,1.4
200612,50.8,2.7
200712,49.5,1.4
200812,48.8,0.7
200912,48.4,0.3
201012,50.1,2.0
201112,50.4,2.3
201212,51.8,3.7
201312,49.0,0.9
201412,47.4,-0.7
201512,49.5,1.4
201612,50.9,2.8
201712,50.6,2.5
201812,49.8,1.7
