total_county;state
254;Texas
159;Georgia
133;Virginia
120;Kentucky
115;Missouri
105;Kansas
102;Illinois
100;North Carolina
99;Iowa
95;Tennessee
93;Nebraska
92;Indiana
88;Ohio
87;Minnesota
83;Michigan
82;Mississippi
77;Oklahoma
75;Arkansas
72;Wisconsin
67;Alabama
67;Florida
67;Pennsylvania
66;South Dakota
64;Colorado
64;Louisiana
62;New York
58;California
56;Montana
55;West Virginia
53;North Dakota
46;South Carolina
44;Idaho
39;Washington
36;Oregon
33;New Mexico
29;Alaska
29;Utah
24;Maryland
23;Wyoming
21;New Jersey
17;Nevada
16;Maine
15;Arizona
14;Massachusetts
14;Vermont
10;New Hampshire
8;Connecticut
5;Hawaii
5;Rhode Island
3;Delaware
1;District of Columbia
