"","State","Year","deg_days_C_days"
"1","Alabama",1980,1741.7
"2","Alabama",1981,1716.1
"3","Alabama",1982,1435
"4","Alabama",1983,1800
"5","Alabama",1984,1505.6
"6","Alabama",1985,1590.6
"7","Alabama",1986,1429.4
"8","Alabama",1987,1538.9
"9","Alabama",1988,1668.3
"10","Alabama",1989,1597.8
"11","Alabama",1990,1218.9
"12","Alabama",1991,1397.2
"13","Alabama",1992,1544.4
"14","Alabama",1993,1660.6
"15","Alabama",1994,1427.8
"16","Alabama",1995,1573.9
"17","Alabama",1996,1647.2
"18","Alabama",1997,1565
"19","Alabama",1998,1320.6
"20","Alabama",1999,1344.4
"21","Alabama",2000,1536.1
"22","Alabama",2001,1453.9
"23","Alabama",2002,1520
"24","Alabama",2003,1536.7
"25","Alabama",2004,1445
"26","Alabama",2005,1474.4
"27","Alabama",2006,1386.7
"28","Alabama",2007,1380.6
"29","Alabama",2008,1539.4
"30","Alabama",2009,1533.9
"31","Alabama",2010,1821.7
"32","Alabama",2011,1460
"33","Alabama",2012,1205.6
"34","Alabama",2013,1547.8
"35","Alabama",2014,1720
"36","Alabama",2015,1327.2
"37","Alabama",2016,1287.2
"38","Alabama",2017,1161.7
"39","Alabama",2018,1475.6
"40","Arizona",1980,1053.3
"41","Arizona",1981,991.1
"42","Arizona",1982,1248.9
"43","Arizona",1983,1241.1
"44","Arizona",1984,1217.8
"45","Arizona",1985,1230.6
"46","Arizona",1986,992.2
"47","Arizona",1987,1255.6
"48","Arizona",1988,1124.4
"49","Arizona",1989,1027.2
"50","Arizona",1990,1202.8
"51","Arizona",1991,1191.7
"52","Arizona",1992,1210
"53","Arizona",1993,1144.4
"54","Arizona",1994,1176.7
"55","Arizona",1995,1005.6
"56","Arizona",1996,952.2
"57","Arizona",1997,1115.6
"58","Arizona",1998,1255
"59","Arizona",1999,1010.6
"60","Arizona",2000,1078.3
"61","Arizona",2001,1156.7
"62","Arizona",2002,1093.9
"63","Arizona",2003,1030
"64","Arizona",2004,1116.1
"65","Arizona",2005,1033.3
"66","Arizona",2006,1059.4
"67","Arizona",2007,1070
"68","Arizona",2008,1093.9
"69","Arizona",2009,1035.6
"70","Arizona",2010,1114.4
"71","Arizona",2011,1195.6
"72","Arizona",2012,971.7
"73","Arizona",2013,1147.2
"74","Arizona",2014,875
"75","Arizona",2015,986.7
"76","Arizona",2016,901.1
"77","Arizona",2017,816.1
"78","Arizona",2018,951.7
"79","Arkansas",1980,2108.3
"80","Arkansas",1981,1937.2
"81","Arkansas",1982,1966.1
"82","Arkansas",1983,2234.4
"83","Arkansas",1984,1920.6
"84","Arkansas",1985,2055
"85","Arkansas",1986,1795.6
"86","Arkansas",1987,1872.2
"87","Arkansas",1988,2051.7
"88","Arkansas",1989,2049.4
"89","Arkansas",1990,1668.9
"90","Arkansas",1991,1803.9
"91","Arkansas",1992,1838.3
"92","Arkansas",1993,2162.8
