Alabama, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,3167,350
198112,3121,304
198212,2615,-202
198312,3272,455
198412,2742,-75
198512,2895,78
198612,2605,-212
198712,2802,-15
198812,3035,218
198912,2908,91
199012,2226,-591
199112,2547,-270
199212,2812,-5
199312,3021,204
199412,2602,-215
199512,2865,48
199612,2997,180
199712,2849,32
199812,2409,-408
199912,2452,-365
200012,2797,-20
200112,2649,-168
200212,2768,-49
200312,2798,-19
200412,2633,-184
200512,2686,-131
200612,2528,-289
200712,2517,-300
200812,2803,-14
200912,2793,-24
201012,3311,494
201112,2660,-157
201212,2202,-615
201312,2818,1
201412,3128,311
201512,2421,-396
201612,2349,-468
201712,2123,-694
201812,2688,-129
