Idaho, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,6993,-284
198112,6708,-569
198212,7799,522
198312,7094,-183
198412,7994,717
198512,8566,1289
198612,6836,-441
198712,6575,-702
198812,6859,-418
198912,7377,100
199012,7044,-233
199112,7170,-107
199212,6470,-807
199312,7765,488
199412,6828,-449
199512,6805,-472
199612,7087,-190
199712,6969,-308
199812,6762,-515
199912,6908,-369
200012,6934,-343
200112,6880,-397
200212,7192,-85
200312,6454,-823
200412,6768,-509
200512,7039,-238
200612,6829,-448
200712,6737,-540
200812,7371,94
200912,7305,28
201012,6967,-310
201112,7436,159
201212,6525,-752
201312,7216,-61
201412,6521,-756
201512,6134,-1143
201612,6461,-816
201712,7012,-265
201812,6681,-596
