Illinois, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,6701,246
198112,6282,-173
198212,6640,185
198312,6438,-17
198412,6330,-125
198512,6645,190
198612,6041,-414
198712,5654,-801
198812,6482,27
198912,6757,302
199012,5608,-847
199112,5910,-545
199212,6098,-357
199312,6578,123
199412,6185,-270
199512,6576,121
199612,6879,424
199712,6521,66
199812,5162,-1293
199912,5814,-641
200012,6120,-335
200112,5732,-723
200212,5991,-464
200312,6275,-180
200412,5908,-547
200512,5919,-536
200612,5527,-928
200712,5930,-525
200812,6639,184
200912,6386,-69
201012,6098,-357
201112,6034,-421
201212,5139,-1316
201312,6601,146
201412,7151,696
201512,5993,-462
201612,5534,-921
201712,5532,-923
201812,6413,-42
