Indiana, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,6369,398
198112,6086,115
198212,6066,95
198312,5982,11
198412,5961,-10
198512,5965,-6
198612,5626,-345
198712,5442,-529
198812,6154,183
198912,6263,292
199012,5117,-854
199112,5334,-637
199212,5679,-292
199312,6132,161
199412,5788,-183
199512,6040,69
199612,6311,340
199712,6086,115
199812,4782,-1189
199912,5412,-559
200012,5810,-161
200112,5261,-710
200212,5530,-441
200312,5912,-59
200412,5526,-445
200512,5618,-353
200612,5146,-825
200712,5458,-513
200812,6037,66
200912,5822,-149
201012,5777,-194
201112,5494,-477
201212,4832,-1139
201312,5961,-10
201412,6564,593
201512,5605,-366
201612,5133,-838
201712,4988,-983
201812,5815,-156
