Iowa, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,7087,-15
198112,6545,-557
198212,7497,395
198312,7273,171
198412,6985,-117
198512,7551,449
198612,6747,-355
198712,5980,-1122
198812,7019,-83
198912,7374,272
199012,6379,-723
199112,6831,-271
199212,6687,-415
199312,7550,448
199412,6999,-103
199512,7270,168
199612,7749,647
199712,7174,72
199812,5985,-1117
199912,6371,-731
200012,6719,-383
200112,6532,-570
200212,6602,-500
200312,6922,-180
200412,6547,-555
200512,6533,-569
200612,6095,-1007
200712,6745,-357
200812,7590,488
200912,7171,69
201012,6961,-141
201112,6826,-276
201212,5730,-1372
201312,7408,306
201412,7745,643
201512,6446,-656
201612,6093,-1009
201712,6230,-872
201812,7267,165
