Kansas, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,5186,67
198112,4633,-486
198212,5361,242
198312,5665,546
198412,5147,28
198512,5610,491
198612,4551,-568
198712,4632,-487
198812,5061,-58
198912,5237,118
199012,4616,-503
199112,4691,-428
199212,4667,-452
199312,5637,518
199412,4849,-270
199512,5117,-2
199612,5418,299
199712,5154,35
199812,4576,-543
199912,4429,-690
200012,4928,-191
200112,4633,-486
200212,4930,-189
200312,4918,-201
200412,4641,-478
200512,4661,-458
200612,4231,-888
200712,4856,-263
200812,5280,161
200912,5102,-17
201012,5008,-111
201112,5025,-94
201212,3945,-1174
201312,5354,235
201412,5304,185
201512,4488,-631
201612,4196,-923
201712,4233,-886
201812,5199,80
