Kentucky, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,5107,442
198112,4958,293
198212,4536,-129
198312,4905,240
198412,4619,-46
198512,4695,30
198612,4347,-318
198712,4452,-213
198812,4958,293
198912,4889,224
199012,3888,-777
199112,4137,-528
199212,4495,-170
199312,4848,183
199412,4546,-119
199512,4758,93
199612,4897,232
199712,4794,129
199812,3857,-808
199912,4143,-522
200012,4574,-91
200112,4219,-446
200212,4368,-297
200312,4595,-70
200412,4237,-428
200512,4381,-284
200612,4129,-536
200712,4143,-522
200812,4686,21
200912,4550,-115
201012,4824,159
201112,4257,-408
201212,3786,-879
201312,4698,33
201412,5014,349
201512,4298,-367
201612,4072,-593
201712,3800,-865
201812,4462,-203
