Louisiana, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,2039,243
198112,1949,153
198212,1624,-172
198312,2219,423
198412,1726,-70
198512,1915,119
198612,1651,-145
198712,1856,60
198812,1904,108
198912,1891,95
199012,1396,-400
199112,1666,-130
199212,1735,-61
199312,1956,160
199412,1637,-159
199512,1738,-58
199612,1803,7
199712,1832,36
199812,1518,-278
199912,1468,-328
200012,1736,-60
200112,1663,-133
200212,1802,6
200312,1861,65
200412,1655,-141
200512,1584,-212
200612,1495,-301
200712,1564,-232
200812,1678,-118
200912,1685,-111
201012,2217,421
201112,1693,-103
201212,1286,-510
201312,1819,23
201412,2098,302
201512,1527,-269
201612,1373,-423
201712,1172,-624
201812,1701,-95
