Maine, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,8501,162
198112,7821,-518
198212,8342,3
198312,7671,-668
198412,7948,-391
198512,8348,9
198612,8225,-114
198712,8049,-290
198812,8103,-236
198912,8591,252
199012,7503,-836
199112,7683,-656
199212,8384,45
199312,8353,14
199412,8234,-105
199512,8094,-245
199612,8068,-271
199712,8344,5
199812,7179,-1160
199912,7159,-1180
200012,7966,-373
200112,7563,-776
200212,7768,-571
200312,8264,-75
200412,8191,-148
200512,7860,-479
200612,7045,-1294
200712,8051,-288
200812,7798,-541
200912,8076,-263
201012,6899,-1440
201112,7471,-868
201212,7088,-1251
201312,7759,-580
201412,7972,-367
201512,8037,-302
201612,7285,-1054
201712,7515,-824
201812,7845,-494
