Maryland, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,5185,200
198112,5140,155
198212,4925,-60
198312,4946,-39
198412,4841,-144
198512,4596,-389
198612,4798,-187
198712,4854,-131
198812,5170,185
198912,5117,132
199012,3937,-1048
199112,4270,-715
199212,4902,-83
199312,4999,14
199412,4850,-135
199512,4921,-64
199612,5135,150
199712,4787,-198
199812,3969,-1016
199912,4469,-516
200012,4764,-221
200112,4425,-560
200212,4391,-594
200312,4979,-6
200412,4638,-347
200512,4766,-219
200612,4108,-877
200712,4536,-449
200812,4546,-439
200912,4734,-251
201012,4631,-354
201112,4351,-634
201212,3953,-1032
201312,4716,-269
201412,5087,102
201512,4615,-370
201612,4370,-615
201712,4111,-874
201812,4646,-339
