Massachusetts, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,6859,185
198112,6634,-40
198212,6657,-17
198312,6243,-431
198412,6388,-286
198512,6529,-145
198612,6468,-206
198712,6519,-155
198812,6696,22
198912,6806,132
199012,5760,-914
199112,5831,-843
199212,6753,79
199312,6591,-83
199412,6521,-153
199512,6458,-216
199612,6535,-139
199712,6498,-176
199812,5560,-1114
199912,5841,-833
200012,6366,-308
200112,5965,-709
200212,5965,-709
200312,6737,63
200412,6451,-223
200512,6419,-255
200612,5661,-1013
200712,6270,-404
200812,6188,-486
200912,6385,-289
201012,5727,-947
201112,5866,-808
201212,5300,-1374
201312,6176,-498
201412,6402,-272
201512,6273,-401
201612,5717,-957
201712,5801,-873
201812,6055,-619
