Arizona, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,1928,-336
198112,1816,-448
198212,2280,16
198312,2266,2
198412,2224,-40
198512,2247,-17
198612,1818,-446
198712,2292,28
198812,2056,-208
198912,1881,-383
199012,2197,-67
199112,2177,-87
199212,2210,-54
199312,2092,-172
199412,2150,-114
199512,1842,-422
199612,1746,-518
199712,2040,-224
199812,2291,27
199912,1851,-413
200012,1973,-291
200112,2114,-150
200212,2001,-263
200312,1886,-378
200412,2041,-223
200512,1892,-372
200612,1939,-325
200712,1958,-306
200812,2001,-263
200912,1896,-368
201012,2038,-226
201112,2184,-80
201212,1781,-483
201312,2097,-167
201412,1607,-657
201512,1808,-456
201612,1654,-610
201712,1501,-763
201812,1745,-519
