Michigan, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,7585,340
198112,7223,-22
198212,7254,9
198312,7084,-161
198412,7127,-118
198512,7126,-119
198612,6920,-325
198712,6433,-812
198812,7163,-82
198912,7523,278
199012,6405,-840
199112,6514,-731
199212,7132,-113
199312,7371,126
199412,7118,-127
199512,7259,14
199612,7510,265
199712,7251,6
199812,5771,-1474
199912,6509,-736
200012,6783,-462
200112,6278,-967
200212,6665,-580
200312,7140,-105
200412,6780,-465
200512,6798,-447
200612,6167,-1078
200712,6561,-684
200812,7082,-163
200912,7036,-209
201012,6404,-841
201112,6736,-509
201212,5781,-1464
201312,7018,-227
201412,7676,431
201512,6720,-525
201612,6162,-1083
201712,6233,-1012
201812,6850,-395
