Minnesota, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,8937,-143
198112,8272,-808
198212,9393,313
198312,8910,-170
198412,8755,-325
198512,9431,351
198612,8568,-512
198712,7403,-1677
198812,8885,-195
198912,9460,380
199012,8203,-877
199112,8637,-443
199212,8555,-525
199312,9351,271
199412,8741,-339
199512,9079,-1
199612,9868,788
199712,8881,-199
199812,7415,-1665
199912,7874,-1206
200012,8451,-629
200112,8104,-976
200212,8480,-600
200312,8602,-478
200412,8450,-630
200512,8130,-950
200612,7654,-1426
200712,8300,-780
200812,9276,196
200912,8926,-154
201012,8197,-883
201112,8476,-604
201212,7391,-1689
201312,9376,296
201412,9630,550
201512,7893,-1187
201612,7597,-1483
201712,8149,-931
201812,9007,-73
