Mississippi, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,2861,339
198112,2704,182
198212,2356,-166
198312,2984,462
198412,2444,-78
198512,2658,136
198612,2351,-171
198712,2533,11
198812,2725,203
198912,2646,124
199012,2025,-497
199112,2334,-188
199212,2486,-36
199312,2747,225
199412,2355,-167
199512,2525,3
199612,2604,82
199712,2589,67
199812,2138,-384
199912,2144,-378
200012,2523,1
200112,2387,-135
200212,2498,-24
200312,2572,50
200412,2337,-185
200512,2344,-178
200612,2236,-286
200712,2223,-299
200812,2521,-1
200912,2476,-46
201012,2971,449
201112,2410,-112
201212,1956,-566
201312,2603,81
201412,2879,357
201512,2166,-356
201612,2088,-434
201712,1815,-707
201812,2480,-42
