Missouri, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,5434,203
198112,4987,-244
198212,5418,187
198312,5560,329
198412,5169,-62
198512,5615,384
198612,4825,-406
198712,4684,-547
198812,5286,55
198912,5471,240
199012,4554,-677
199112,4808,-423
199212,4827,-404
199312,5674,443
199412,4999,-232
199512,5318,87
199612,5625,394
199712,5357,126
199812,4476,-755
199912,4561,-670
200012,5066,-165
200112,4765,-466
200212,5010,-221
200312,5120,-111
200412,4805,-426
200512,4774,-457
200612,4443,-788
200712,4836,-395
200812,5455,224
200912,5178,-53
201012,5236,5
201112,4992,-239
201212,4072,-1159
201312,5452,221
201412,5695,464
201512,4722,-509
201612,4392,-839
201712,4284,-947
201812,5305,74
