Montana, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,8723,-287
198112,8181,-829
198212,9628,618
198312,8890,-120
198412,9004,-6
198512,9796,786
198612,8400,-610
198712,7989,-1021
198812,8173,-837
198912,9104,94
199012,8580,-430
199112,8584,-426
199212,8150,-860
199312,9427,417
199412,8407,-603
199512,8768,-242
199612,9541,531
199712,8752,-258
199812,8254,-756
199912,8086,-924
200012,8634,-376
200112,8252,-758
200212,8970,-40
200312,8311,-699
200412,8294,-716
200512,8434,-576
200612,8084,-926
200712,8183,-827
200812,8941,-69
200912,8933,-77
201012,8697,-313
201112,8853,-157
201212,7990,-1020
201312,8554,-456
201412,8604,-406
201512,7692,-1318
201612,7871,-1139
201712,8434,-576
201812,8741,-269
