Nebraska, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,6495,-147
198112,5936,-706
198212,7075,433
198312,7077,435
198412,6661,19
198512,7035,393
198612,5978,-664
198712,5692,-950
198812,6346,-296
198912,6710,68
199012,6015,-627
199112,6180,-462
199212,6048,-594
199312,7208,566
199412,6377,-265
199512,6584,-58
199612,7180,538
199712,6556,-86
199812,5882,-760
199912,5734,-908
200012,6224,-418
200112,6008,-634
200212,6264,-378
200312,6248,-394
200412,6004,-638
200512,5928,-714
200612,5659,-983
200712,6257,-385
200812,6900,258
200912,6692,50
201012,6473,-169
201112,6505,-137
201212,5363,-1279
201312,6720,78
201412,6698,56
201512,5785,-857
201612,5563,-1079
201712,5813,-829
201812,6847,205
