Nevada, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,3429,-379
198112,3264,-544
198212,4095,287
198312,3735,-73
198412,3900,92
198512,3966,158
198612,3221,-587
198712,3685,-123
198812,3570,-238
198912,3485,-323
199012,3753,-55
199112,3720,-88
199212,3535,-273
199312,3833,25
199412,3684,-124
199512,3275,-533
199612,3291,-517
199712,3449,-359
199812,3928,120
199912,3377,-431
200012,3400,-408
200112,3485,-323
200212,3558,-250
200312,3367,-441
200412,3510,-298
200512,3488,-320
200612,3594,-214
200712,3422,-386
200812,3615,-193
200912,3616,-192
201012,3682,-126
201112,3851,43
201212,3220,-588
201312,3659,-149
201412,2934,-874
201512,3098,-710
201612,3210,-598
201712,3131,-677
201812,3325,-483
