New Hampshire, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,8241,242
198112,7734,-265
198212,8060,61
198312,7497,-502
198412,7655,-344
198512,7925,-74
198612,7802,-197
198712,7754,-245
198812,7971,-28
198912,8192,193
199012,7110,-889
199112,7218,-781
199212,8099,100
199312,7943,-56
199412,7939,-60
199512,7754,-245
199612,7804,-195
199712,7961,-38
199812,6754,-1245
199912,7064,-935
200012,7694,-305
200112,7276,-723
200212,7288,-711
200312,8048,49
200412,7720,-279
200512,7601,-398
200612,6868,-1131
200712,7676,-323
200812,7538,-461
200912,7764,-235
201012,6837,-1162
201112,7192,-807
201212,6590,-1409
201312,7473,-526
201412,7798,-201
201512,7603,-396
201612,6924,-1075
201712,7106,-893
201812,7406,-593
