New Jersey, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,5859,125
198112,5765,31
198212,5628,-106
198312,5464,-270
198412,5497,-237
198512,5353,-381
198612,5423,-311
198712,5495,-239
198812,5848,114
198912,5780,46
199012,4679,-1055
199112,4886,-848
199212,5665,-69
199312,5599,-135
199412,5585,-149
199512,5519,-215
199612,5679,-55
199712,5471,-263
199812,4539,-1195
199912,5056,-678
200012,5407,-327
200112,5030,-704
200212,4969,-765
200312,5693,-41
200412,5280,-454
200512,5397,-337
200612,4620,-1114
200712,5146,-588
200812,5155,-579
200912,5296,-438
201012,5013,-721
201112,4881,-853
201212,4445,-1289
201312,5254,-480
201412,5624,-110
201512,5180,-554
201612,4836,-898
201712,4771,-963
201812,5185,-549
