New Mexico, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,4800,-114
198112,4421,-493
198212,4975,61
198312,5018,104
198412,5017,103
198512,4866,-48
198612,4584,-330
198712,5124,210
198812,4902,-12
198912,4495,-419
199012,4802,-112
199112,4906,-8
199212,4945,31
199312,4759,-155
199412,4588,-326
199512,4394,-520
199612,4384,-530
199712,4905,-9
199812,4617,-297
199912,4347,-567
200012,4357,-557
200112,4510,-404
200212,4590,-324
200312,4219,-695
200412,4634,-280
200512,4361,-553
200612,4387,-527
200712,4549,-365
200812,4648,-266
200912,4491,-423
201012,4618,-296
201112,4676,-238
201212,4132,-782
201312,4814,-100
201412,4313,-601
201512,4352,-562
201612,4154,-760
201712,3801,-1113
201812,4276,-638
