Arkansas, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,3827,301
198112,3519,-7
198212,3571,45
198312,4054,528
198412,3489,-37
198512,3731,205
198612,3264,-262
198712,3402,-124
198812,3725,199
198912,3721,195
199012,3036,-490
199112,3279,-247
199212,3341,-185
199312,3925,399
199412,3343,-183
199512,3469,-57
199612,3734,208
199712,3637,111
199812,3050,-476
199912,2973,-553
200012,3532,6
200112,3293,-233
200212,3514,-12
200312,3463,-63
200412,3171,-355
200512,3150,-376
200612,3026,-500
200712,3195,-331
200812,3618,92
200912,3519,-7
201012,3696,170
201112,3335,-191
201212,2725,-801
201312,3713,187
201412,3942,416
201512,3297,-229
201612,2960,-566
201712,2733,-793
201812,3593,67
