New York, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,6774,221
198112,6526,-27
198212,6494,-59
198312,6233,-320
198412,6294,-259
198512,6301,-252
198612,6240,-313
198712,6234,-319
198812,6546,-7
198912,6672,119
199012,5557,-996
199112,5669,-884
199212,6571,18
199312,6539,-14
199412,6501,-52
199512,6334,-219
199612,6515,-38
199712,6391,-162
199812,5349,-1204
199912,5829,-724
200012,6311,-242
200112,5788,-765
200212,5815,-738
200312,6574,21
200412,6244,-309
200512,6242,-311
200612,5486,-1067
200712,6086,-467
200812,6045,-508
200912,6238,-315
201012,5742,-811
201112,5765,-788
201212,5176,-1377
201312,6104,-449
201412,6404,-149
201512,6084,-469
201612,5562,-991
201712,5628,-925
201812,6052,-501
