North Carolina, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,3940,316
198112,4037,413
198212,3529,-95
198312,3883,259
198412,3499,-125
198512,3379,-245
198612,3338,-286
198712,3805,181
198812,3996,372
198912,3692,68
199012,2767,-857
199112,3152,-472
199212,3548,-76
199312,3721,97
199412,3372,-252
199512,3675,51
199612,3824,200
199712,3585,-39
199812,3038,-586
199912,3215,-409
200012,3663,39
200112,3211,-413
200212,3326,-298
200312,3524,-100
200412,3400,-224
200512,3464,-160
200612,3139,-485
200712,3120,-504
200812,3416,-208
200912,3531,-93
201012,3887,263
201112,3241,-383
201212,2959,-665
201312,3537,-87
201412,3717,93
201512,3154,-470
201612,3158,-466
201712,2901,-723
201812,3400,-224
