North Dakota, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,9155,-494
198112,8406,-1243
198212,10214,565
198312,9323,-326
198412,9245,-404
198512,10036,387
198612,8895,-754
198712,7803,-1846
198812,9036,-613
198912,9893,244
199012,8650,-999
199112,8845,-804
199212,8946,-703
199312,9930,281
199412,9460,-189
199512,9740,91
199612,10810,1161
199712,9399,-250
199812,8461,-1188
199912,8454,-1195
200012,9139,-510
200112,8763,-886
200212,9255,-394
200312,9328,-321
200412,9197,-452
200512,8703,-946
200612,8291,-1358
200712,9014,-635
200812,9807,158
200912,9972,323
201012,9146,-503
201112,9298,-351
201212,8187,-1462
201312,10073,424
201412,9837,188
201512,8370,-1279
201612,8018,-1631
201712,8842,-807
201812,9686,37
