Ohio, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,6557,455
198112,6319,217
198212,6019,-83
198312,6003,-99
198412,6076,-26
198512,5987,-115
198612,5665,-437
198712,5576,-526
198812,6252,150
198912,6351,249
199012,5138,-964
199112,5340,-762
199212,5887,-215
199312,6119,17
199412,6005,-97
199512,6228,126
199612,6320,218
199712,6077,-25
199812,4858,-1244
199912,5537,-565
200012,5867,-235
200112,5344,-758
200212,5560,-542
200312,6051,-51
200412,5696,-406
200512,5854,-248
200612,5239,-863
200712,5556,-546
200812,6003,-99
200912,5914,-188
201012,5869,-233
201112,5566,-536
201212,4990,-1112
201312,5908,-194
201412,6457,355
201512,5681,-421
201612,5243,-859
201712,5075,-1027
201812,5781,-321
