Oklahoma, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,3847,119
198112,3505,-223
198212,3837,109
198312,4293,565
198412,3765,37
198512,4105,377
198612,3425,-303
198712,3647,-81
198812,3861,133
198912,3968,240
199012,3356,-372
199112,3497,-231
199212,3393,-335
199312,4164,436
199412,3605,-123
199512,3621,-107
199612,3882,154
199712,3826,98
199812,3377,-351
199912,3077,-651
200012,3699,-29
200112,3490,-238
200212,3744,16
200312,3607,-121
200412,3341,-387
200512,3353,-375
200612,3017,-711
200712,3535,-193
200812,3671,-57
200912,3675,-53
201012,3772,44
201112,3590,-138
201212,2865,-863
201312,3995,267
201412,3944,216
201512,3409,-319
201612,3036,-692
201712,2918,-810
201812,3811,83
