Oregon, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,5534,-111
198112,5280,-365
198212,5880,235
198312,5438,-207
198412,5791,146
198512,6231,586
198612,5168,-477
198712,5023,-622
198812,5305,-340
198912,5530,-115
199012,5509,-136
199112,5368,-277
199212,4645,-1000
199312,5698,53
199412,5336,-309
199512,5001,-644
199612,5387,-258
199712,5228,-417
199812,5277,-368
199912,5467,-178
200012,5465,-180
200112,5364,-281
200212,5324,-321
200312,5012,-633
200412,5013,-632
200512,5259,-386
200612,5269,-376
200712,5490,-155
200812,5727,82
200912,5564,-81
201012,5397,-248
201112,5853,208
201212,5423,-222
201312,5419,-226
201412,4736,-909
201512,4490,-1155
201612,4881,-764
201712,5369,-276
201812,5052,-593
