Pennsylvania, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,6430,269
198112,6327,166
198212,6093,-68
198312,6038,-123
198412,6045,-116
198512,5873,-288
198612,5897,-264
198712,5889,-272
198812,6312,151
198912,6339,178
199012,5169,-992
199112,5407,-754
199212,6139,-22
199312,6130,-31
199412,6178,17
199512,6112,-49
199612,6278,117
199712,6049,-112
199812,4946,-1215
199912,5591,-570
200012,5924,-237
200112,5523,-638
200212,5548,-613
200312,6165,4
200412,5775,-386
200512,5887,-274
200612,5206,-955
200712,5678,-483
200812,5821,-340
200912,5881,-280
201012,5645,-516
201112,5475,-686
201212,5027,-1134
201312,5848,-313
201412,6308,147
201512,5720,-441
201612,5391,-770
201712,5270,-891
201812,5763,-398
