Rhode Island, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,6467,121
198112,6320,-26
198212,6274,-72
198312,5920,-426
198412,5995,-351
198512,6130,-216
198612,6108,-238
198712,6149,-197
198812,6337,-9
198912,6429,83
199012,5382,-964
199112,5475,-871
199212,6326,-20
199312,6195,-151
199412,6143,-203
199512,6004,-342
199612,6186,-160
199712,6082,-264
199812,5237,-1109
199912,5466,-880
200012,6003,-343
200112,5570,-776
200212,5603,-743
200312,6348,2
200412,6113,-233
200512,6092,-254
200612,5320,-1026
200712,5869,-477
200812,5735,-611
200912,5961,-385
201012,5435,-911
201112,5479,-867
201212,5007,-1339
201312,5827,-519
201412,6021,-325
201512,5881,-465
201612,5354,-992
201712,5428,-918
201812,5634,-712
