South Carolina, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,3130,317
198112,3183,370
198212,2623,-190
198312,3147,334
198412,2676,-137
198512,2625,-188
198612,2490,-323
198712,2943,130
198812,3102,289
198912,2752,-61
199012,2053,-760
199112,2442,-371
199212,2745,-68
199312,2930,117
199412,2537,-276
199512,2833,20
199612,2970,157
199712,2685,-128
199812,2312,-501
199912,2473,-340
200012,2919,106
200112,2427,-386
200212,2592,-221
200312,2744,-69
200412,2643,-170
200512,2682,-131
200612,2388,-425
200712,2350,-463
200812,2659,-154
200912,2769,-44
201012,3211,398
201112,2516,-297
201212,2189,-624
201312,2709,-104
201412,2940,127
201512,2365,-448
201612,2393,-420
201712,2089,-724
201812,2619,-194
