South Dakota, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,7607,-410
198112,6996,-1021
198212,8473,456
198312,8164,147
198412,7926,-91
198512,8510,493
198612,7474,-543
198712,6676,-1341
198812,7650,-367
198912,8177,160
199012,7235,-782
199112,7383,-634
199212,7416,-601
199312,8551,534
199412,7822,-195
199512,8026,9
199612,8920,903
199712,7988,-29
199812,7088,-929
199912,6884,-1133
200012,7581,-436
200112,7474,-543
200212,7629,-388
200312,7549,-468
200412,7209,-808
200512,7180,-837
200612,6938,-1079
200712,7441,-576
200812,8286,269
200912,8124,107
201012,7758,-259
201112,7913,-104
201212,6588,-1429
201312,8305,288
201412,8197,180
201512,7020,-997
201612,6820,-1197
201712,7241,-776
201812,8229,212
