California, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,2933,-341
198112,2809,-465
198212,3424,150
198312,3052,-222
198412,3053,-221
198512,3272,-2
198612,2719,-555
198712,3019,-255
198812,2891,-383
198912,2931,-343
199012,3068,-206
199112,3024,-250
199212,2715,-559
199312,2913,-361
199412,3156,-118
199512,2732,-542
199612,2648,-626
199712,2664,-610
199812,3407,133
199912,3053,-221
200012,2832,-442
200112,2965,-309
200212,2948,-326
200312,2833,-441
200412,2842,-432
200512,2815,-459
200612,3014,-260
200712,2876,-398
200812,2861,-413
200912,2879,-395
201012,3086,-188
201112,3182,-92
201212,2741,-533
201312,2707,-567
201412,2092,-1182
201512,2342,-932
201612,2438,-836
201712,2442,-832
201812,2541,-733
