Tennessee, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,4341,369
198112,4261,289
198212,3866,-106
198312,4340,368
198412,3902,-70
198512,4049,77
198612,3711,-261
198712,3878,-94
198812,4301,329
198912,4152,180
199012,3306,-666
199112,3566,-406
199212,3897,-75
199312,4170,198
199412,3807,-165
199512,4050,78
199612,4231,259
199712,4045,73
199812,3345,-627
199912,3493,-479
200012,3930,-42
200112,3692,-280
200212,3779,-193
200312,3905,-67
200412,3600,-372
200512,3716,-256
200612,3563,-409
200712,3494,-478
200812,3969,-3
200912,3904,-68
201012,4290,318
201112,3670,-302
201212,3187,-785
201312,4038,66
201412,4282,310
201512,3568,-404
201612,3437,-535
201712,3167,-805
201812,3843,-129
