Texas, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,2131,82
198112,1917,-132
198212,2003,-46
198312,2399,350
198412,1925,-124
198512,2219,170
198612,1822,-227
198712,2066,17
198812,2043,-6
198912,2161,112
199012,1706,-343
199112,1938,-111
199212,1878,-171
199312,2142,93
199412,1795,-254
199512,1812,-237
199612,1918,-131
199712,2151,102
199812,1733,-316
199912,1511,-538
200012,1812,-237
200112,1908,-141
200212,2009,-40
200312,1897,-152
200412,1777,-272
200512,1711,-338
200612,1525,-524
200712,1859,-190
200812,1798,-251
200912,1851,-198
201012,2151,102
201112,1832,-217
201212,1416,-633
201312,2017,-32
201412,2093,44
201512,1863,-186
201612,1506,-543
201712,1342,-707
201812,1976,-73
