Utah, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,7158,-314
198112,6691,-781
198212,7999,527
198312,7386,-86
198412,8278,806
198512,8008,536
198612,6971,-501
198712,7058,-414
198812,7246,-226
198912,7288,-184
199012,7185,-287
199112,7543,71
199212,6871,-601
199312,7765,293
199412,6908,-564
199512,6914,-558
199612,7024,-448
199712,7284,-188
199812,7251,-221
199912,6891,-581
200012,6796,-676
200112,6827,-645
200212,7366,-106
200312,6649,-823
200412,7125,-347
200512,6957,-515
200612,7049,-423
200712,6861,-611
200812,7507,35
200912,7311,-161
201012,7222,-250
201112,7555,83
201212,6429,-1043
201312,7530,58
201412,6558,-914
201512,6332,-1140
201612,6594,-878
201712,6683,-789
201812,6765,-707
