Vermont, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,8794,264
198112,8252,-278
198212,8485,-45
198312,8126,-404
198412,8160,-370
198512,8434,-96
198612,8285,-245
198712,8243,-287
198812,8464,-66
198912,8732,202
199012,7573,-957
199112,7748,-782
199212,8696,166
199312,8604,74
199412,8596,66
199512,8247,-283
199612,8316,-214
199712,8585,55
199812,7196,-1334
199912,7615,-915
200012,8301,-229
200112,7697,-833
200212,7762,-768
200312,8551,21
200412,8333,-197
200512,7998,-532
200612,7275,-1255
200712,8181,-349
200812,7949,-581
200912,8189,-341
201012,7378,-1152
201112,7576,-954
201212,6965,-1565
201312,7937,-593
201412,8312,-218
201512,8085,-445
201612,7421,-1109
201712,7614,-916
201812,7986,-544
