Virginia, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,4870,275
198112,4924,329
198212,4536,-59
198312,4725,130
198412,4461,-134
198512,4278,-317
198612,4402,-193
198712,4645,50
198812,4905,310
198912,4760,165
199012,3639,-956
199112,3987,-608
199212,4548,-47
199312,4654,59
199412,4411,-184
199512,4601,6
199612,4790,195
199712,4526,-69
199812,3786,-809
199912,4140,-455
200012,4491,-104
200112,4127,-468
200212,4135,-460
200312,4532,-63
200412,4265,-330
200512,4408,-187
200612,3944,-651
200712,4088,-507
200812,4268,-327
200912,4433,-162
201012,4539,-56
201112,4037,-558
201212,3757,-838
201312,4430,-165
201412,4705,110
201512,4157,-438
201612,4061,-534
201712,3786,-809
201812,4319,-276
