Washington, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,5886,-83
198112,5592,-377
198212,6138,169
198312,5711,-258
198412,6127,158
198512,6673,704
198612,5574,-395
198712,5303,-666
198812,5644,-325
198912,5808,-161
199012,5756,-213
199112,5707,-262
199212,5186,-783
199312,5964,-5
199412,5515,-454
199512,5363,-606
199612,6073,104
199712,5531,-438
199812,5311,-658
199912,5766,-203
200012,5905,-64
200112,5826,-143
200212,5766,-203
200312,5369,-600
200412,5246,-723
200512,5506,-463
200612,5561,-408
200712,5846,-123
200812,6144,175
200912,5969,0
201012,5589,-380
201112,6215,246
201212,5798,-171
201312,5761,-208
201412,5266,-703
201512,4897,-1072
201612,5134,-835
201712,5804,-165
201812,5376,-593
