West Virginia, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,5834,453
198112,5852,471
198212,5254,-127
198312,5533,152
198412,5318,-63
198512,5257,-124
198612,5127,-254
198712,5262,-119
198812,5697,316
198912,5605,224
199012,4491,-890
199112,4754,-627
199212,5322,-59
199312,5371,-10
199412,5301,-80
199512,5506,125
199612,5603,222
199712,5434,53
199812,4497,-884
199912,4962,-419
200012,5256,-125
200112,4923,-458
200212,4956,-425
200312,5309,-72
200412,4959,-422
200512,5182,-199
200612,4818,-563
200712,4899,-482
200812,5267,-114
200912,5234,-147
201012,5451,70
201112,4845,-536
201212,4530,-851
201312,5279,-102
201412,5614,233
201512,4926,-455
201612,4743,-638
201712,4496,-885
201812,5105,-276
