Wisconsin, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,8121,143
198112,7648,-330
198212,8229,251
198312,7874,-104
198412,7759,-219
198512,8197,219
198612,7643,-335
198712,6858,-1120
198812,7860,-118
198912,8367,389
199012,7171,-807
199112,7546,-432
199212,7729,-249
199312,8122,144
199412,7779,-199
199512,8058,80
199612,8556,578
199712,7900,-78
199812,6420,-1558
199912,7073,-905
200012,7436,-542
200112,7033,-945
200212,7334,-644
200312,7751,-227
200412,7448,-530
200512,7319,-659
200612,6880,-1098
200712,7302,-676
200812,8169,191
200912,7890,-88
201012,7127,-851
201112,7523,-455
201212,6456,-1522
201312,8188,210
201412,8681,703
201512,7215,-763
201612,6851,-1127
201712,7097,-881
201812,7794,-184
