Wyoming, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,8352,-384
198112,7683,-1053
198212,9025,289
198312,8774,38
198412,9031,295
198512,9270,534
198612,8130,-606
198712,8099,-637
198812,8196,-540
198912,8586,-150
199012,8364,-372
199112,8393,-343
199212,8031,-705
199312,9261,525
199412,7981,-755
199512,8416,-320
199612,8656,-80
199712,8565,-171
199812,8141,-595
199912,7844,-892
200012,8206,-530
200112,7998,-738
200212,8598,-138
200312,8032,-704
200412,8045,-691
200512,7976,-760
200612,7989,-747
200712,8004,-732
200812,8754,18
200912,8638,-98
201012,8282,-454
201112,8655,-81
201212,7427,-1309
201312,8522,-214
201412,8248,-488
201512,7590,-1146
201612,7689,-1047
201712,7904,-832
201812,8205,-531
