Colorado, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,7308,-222
198112,6682,-848
198212,7664,134
198312,7760,230
198412,7812,282
198512,7791,261
198612,6885,-645
198712,7246,-284
198812,7368,-162
198912,7294,-236
199012,7207,-323
199112,7238,-292
199212,7143,-387
199312,7781,251
199412,6858,-672
199512,7220,-310
199612,7193,-337
199712,7457,-73
199812,6972,-558
199912,6770,-760
200012,6878,-652
200112,6880,-650
200212,7234,-296
200312,6844,-686
200412,6967,-563
200512,6836,-694
200612,6927,-603
200712,7158,-372
200812,7456,-74
200912,7356,-174
201012,7062,-468
201112,7399,-131
201212,6402,-1128
201312,7483,-47
201412,7155,-375
201512,6668,-862
201612,6675,-855
201712,6480,-1050
201812,6887,-643
