Connecticut, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,6499,110
198112,6337,-52
198212,6337,-52
198312,6027,-362
198412,6124,-265
198512,6120,-269
198612,6125,-264
198712,6122,-267
198812,6432,43
198912,6448,59
199012,5374,-1015
199112,5480,-909
199212,6381,-8
199312,6274,-115
199412,6244,-145
199512,6148,-241
199612,6273,-116
199712,6145,-244
199812,5238,-1151
199912,5617,-772
200012,6112,-277
200112,5673,-716
200212,5699,-690
200312,6461,72
200412,6154,-235
200512,6180,-209
200612,5421,-968
200712,5950,-439
200812,5910,-479
200912,6106,-283
201012,5525,-864
201112,5607,-782
201212,5032,-1357
201312,5933,-456
201412,6208,-181
201512,5944,-445
201612,5367,-1022
201712,5442,-947
201812,5755,-634
