Delaware, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,5182,197
198112,5154,169
198212,4926,-59
198312,4840,-145
198412,4862,-123
198512,4566,-419
198612,4762,-223
198712,4909,-76
198812,5180,195
198912,5103,118
199012,3955,-1030
199112,4237,-748
199212,4884,-101
199312,4901,-84
199412,4815,-170
199512,4819,-166
199612,5015,30
199712,4719,-266
199812,3965,-1020
199912,4385,-600
200012,4741,-244
200112,4356,-629
200212,4257,-728
200312,4951,-34
200412,4599,-386
200512,4754,-231
200612,4011,-974
200712,4486,-499
200812,4415,-570
200912,4616,-369
201012,4589,-396
201112,4261,-724
201212,3860,-1125
201312,4588,-397
201412,4919,-66
201512,4489,-496
201612,4244,-741
201712,4046,-939
201812,4501,-484
