Florida, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,872,103
198112,1041,272
198212,509,-260
198312,884,115
198412,719,-50
198512,788,19
198612,605,-164
198712,739,-30
198812,797,28
198912,673,-96
199012,430,-339
199112,545,-224
199212,675,-94
199312,744,-25
199412,537,-232
199512,776,7
199612,799,30
199712,578,-191
199812,558,-211
199912,629,-140
200012,719,-50
200112,635,-134
200212,685,-84
200312,772,3
200412,708,-61
200512,704,-65
200612,604,-165
200712,558,-211
200812,634,-135
200912,705,-64
201012,1276,507
201112,613,-156
201212,546,-223
201312,545,-224
201412,719,-50
201512,483,-286
201612,559,-210
201712,451,-318
201812,590,-179
