Georgia, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,3288,285
198112,3340,337
198212,2778,-225
198312,3389,386
198412,2890,-113
198512,2890,-113
198612,2686,-317
198712,3073,70
198812,3241,238
198912,2959,-44
199012,2340,-663
199112,2655,-348
199212,2979,-24
199312,3163,160
199412,2752,-251
199512,3011,8
199612,3204,201
199712,2899,-104
199812,2504,-499
199912,2639,-364
200012,3037,34
200112,2679,-324
200212,2818,-185
200312,2910,-93
200412,2765,-238
200512,2849,-154
200612,2635,-368
200712,2608,-395
200812,2951,-52
200912,2981,-22
201012,3449,446
201112,2750,-253
201212,2321,-682
201312,2923,-80
201412,3166,163
201512,2550,-453
201612,2521,-482
201712,2245,-758
201812,2805,-198
