"","State","Year","Month","min_temp_C"
"1","Alabama",1980,1,3.111
"2","Alabama",1980,2,-0.667
"3","Alabama",1980,3,5
"4","Alabama",1980,4,8.611
"5","Alabama",1980,5,15.111
"6","Alabama",1980,6,18.556
"7","Alabama",1980,7,21.389
"8","Alabama",1980,8,20.611
"9","Alabama",1980,9,18.833
"10","Alabama",1980,10,8.333
"11","Alabama",1980,11,4.389
"12","Alabama",1980,12,0
"13","Alabama",1981,1,-2.889
"14","Alabama",1981,2,1.667
"15","Alabama",1981,3,3.611
"16","Alabama",1981,4,12.056
"17","Alabama",1981,5,12.5
"18","Alabama",1981,6,20.389
"19","Alabama",1981,7,21
"20","Alabama",1981,8,19.778
"21","Alabama",1981,9,14.444
"22","Alabama",1981,10,9.722
"23","Alabama",1981,11,4.833
"24","Alabama",1981,12,0.444
"25","Alabama",1982,1,-0.333
"26","Alabama",1982,2,2.889
"27","Alabama",1982,3,8.333
"28","Alabama",1982,4,9.444
"29","Alabama",1982,5,14.778
"30","Alabama",1982,6,18.111
"31","Alabama",1982,7,20.556
"32","Alabama",1982,8,20.222
"33","Alabama",1982,9,15.667
"34","Alabama",1982,10,10.833
"35","Alabama",1982,11,6.333
"36","Alabama",1982,12,6
"37","Alabama",1983,1,0.111
"38","Alabama",1983,2,2.667
"39","Alabama",1983,3,4.889
"40","Alabama",1983,4,7.333
"41","Alabama",1983,5,13.722
"42","Alabama",1983,6,18
"43","Alabama",1983,7,20.611
"44","Alabama",1983,8,20.667
"45","Alabama",1983,9,15.667
"46","Alabama",1983,10,11.056
"47","Alabama",1983,11,4.667
"48","Alabama",1983,12,-0.222
"49","Alabama",1984,1,-1.667
"50","Alabama",1984,2,1.944
"51","Alabama",1984,3,4.833
"52","Alabama",1984,4,9.611
"53","Alabama",1984,5,13.444
"54","Alabama",1984,6,17.778
"55","Alabama",1984,7,19.722
"56","Alabama",1984,8,19.556
"57","Alabama",1984,9,15.167
"58","Alabama",1984,10,14.444
"59","Alabama",1984,11,3.889
"60","Alabama",1984,12,6.389
"61","Alabama",1985,1,-3.389
"62","Alabama",1985,2,1.556
"63","Alabama",1985,3,8
"64","Alabama",1985,4,10.333
"65","Alabama",1985,5,14.944
"66","Alabama",1985,6,18.889
"67","Alabama",1985,7,20.111
"68","Alabama",1985,8,20.056
"69","Alabama",1985,9,16.111
"70","Alabama",1985,10,14.333
"71","Alabama",1985,11,10.778
"72","Alabama",1985,12,-1.611
"73","Alabama",1986,1,-1.111
"74","Alabama",1986,2,4.222
"75","Alabama",1986,3,5.167
"76","Alabama",1986,4,8.333
"77","Alabama",1986,5,15.278
"78","Alabama",1986,6,19.889
"79","Alabama",1986,7,21.278
"80","Alabama",1986,8,19.444
"81","Alabama",1986,9,18.778
"82","Alabama",1986,10,11.722
"83","Alabama",1986,11,9.833
"84","Alabama",1986,12,2.944
"85","Alabama",1987,1,0.278
"86","Alabama",1987,2,3.611
"87","Alabama",1987,3,6.444
"88","Alabama",1987,4,7.722
"89","Alabama",1987,5,16.889
"90","Alabama",1987,6,18.889
"91","Alabama",1987,7,20.333
"92","Alabama",1987,8,21.111
"93","Alabama",1987,9,16.278
"94","Alabama",1987,10,5.222
"95","Alabama",1987,11,5.833
"96","Alabama",1987,12,4.056
"97","Alabama",1988,1,-0.667
"98","Alabama",1988,2,0.333
"99","Alabama",1988,3,5.111
"100","Alabama",1988,4,9.833
"101","Alabama",1988,5,12.056
"102","Alabama",1988,6,17.222
"103","Alabama",1988,7,20.444
"104","Alabama",1988,8,20.833
"105","Alabama",1988,9,18.5
"106","Alabama",1988,10,8.222
"107","Alabama",1988,11,7
"108","Alabama",1988,12,1.333
"109","Alabama",1989,1,3.889
"110","Alabama",1989,2,3.389
"111","Alabama",1989,3,7.778
"112","Alabama",1989,4,8.833
"113","Alabama",1989,5,13.944
"114","Alabama",1989,6,19.167
"115","Alabama",1989,7,20.833
"116","Alabama",1989,8,19.778
"117","Alabama",1989,9,17.222
"118","Alabama",1989,10,9.556
"119","Alabama",1989,11,5.167
"120","Alabama",1989,12,-2.444
"121","Alabama",1990,1,3.667
"122","Alabama",1990,2,6.444
"123","Alabama",1990,3,7.722
"124","Alabama",1990,4,8.778
"125","Alabama",1990,5,14.333
"126","Alabama",1990,6,18.611
"127","Alabama",1990,7,20.222
"128","Alabama",1990,8,19.944
"129","Alabama",1990,9,16.944
"130","Alabama",1990,10,10.167
"131","Alabama",1990,11,5.333
"132","Alabama",1990,12,4.333
"133","Alabama",1991,1,3.111
"134","Alabama",1991,2,4.056
"135","Alabama",1991,3,7
"136","Alabama",1991,4,12.889
"137","Alabama",1991,5,17.944
"138","Alabama",1991,6,19.333
"139","Alabama",1991,7,21.278
"140","Alabama",1991,8,20.222
"141","Alabama",1991,9,16.944
"142","Alabama",1991,10,10.611
"143","Alabama",1991,11,3.167
"144","Alabama",1991,12,3.778
"145","Alabama",1992,1,1.056
"146","Alabama",1992,2,4.056
"147","Alabama",1992,3,5.556
"148","Alabama",1992,4,9.167
"149","Alabama",1992,5,12.778
"150","Alabama",1992,6,17.944
"151","Alabama",1992,7,21
"152","Alabama",1992,8,18.889
"153","Alabama",1992,9,17.667
"154","Alabama",1992,10,9.667
"155","Alabama",1992,11,5.333
