Alabama, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,37.6,3.4
198002,30.8,-5.6
198003,41.0,-1.9
198004,47.5,-2.6
198005,59.2,0.9
198006,65.4,-0.4
198007,70.5,1.7
198008,69.1,1.1
198009,65.9,3.0
198010,47.0,-3.9
198011,39.9,-1.0
198012,32.0,-3.4
198101,26.8,-7.4
198102,35.0,-1.4
198103,38.5,-4.4
198104,53.7,3.6
198105,54.5,-3.8
198106,68.7,2.9
198107,69.8,1.0
198108,67.6,-0.4
198109,58.0,-4.9
198110,49.5,-1.4
198111,40.7,-0.2
198112,32.8,-2.6
198201,31.4,-2.8
198202,37.2,0.8
198203,47.0,4.1
198204,49.0,-1.1
198205,58.6,0.3
198206,64.6,-1.2
198207,69.0,0.2
198208,68.4,0.4
198209,60.2,-2.7
198210,51.5,0.6
198211,43.4,2.5
198212,42.8,7.4
198301,32.2,-2.0
198302,36.8,0.4
198303,40.8,-2.1
198304,45.2,-4.9
198305,56.7,-1.6
198306,64.4,-1.4
198307,69.1,0.3
198308,69.2,1.2
198309,60.2,-2.7
198310,51.9,1.0
198311,40.4,-0.5
198312,31.6,-3.8
198401,29.0,-5.2
198402,35.5,-0.9
198403,40.7,-2.2
198404,49.3,-0.8
198405,56.2,-2.1
198406,64.0,-1.8
198407,67.5,-1.3
198408,67.2,-0.8
198409,59.3,-3.6
198410,58.0,7.1
198411,39.0,-1.9
198412,43.5,8.1
198501,25.9,-8.3
198502,34.8,-1.6
198503,46.4,3.5
198504,50.6,0.5
198505,58.9,0.6
198506,66.0,0.2
198507,68.2,-0.6
198508,68.1,0.1
198509,61.0,-1.9
198510,57.8,6.9
198511,51.4,10.5
198512,29.1,-6.3
198601,30.0,-4.2
198602,39.6,3.2
198603,41.3,-1.6
198604,47.0,-3.1
198605,59.5,1.2
198606,67.8,2.0
198607,70.3,1.5
198608,67.0,-1.0
198609,65.8,2.9
198610,53.1,2.2
198611,49.7,8.8
198612,37.3,1.9
198701,32.5,-1.7
198702,38.5,2.1
198703,43.6,0.7
198704,45.9,-4.2
198705,62.4,4.1
198706,66.0,0.2
198707,68.6,-0.2
198708,70.0,2.0
198709,61.3,-1.6
198710,41.4,-9.5
198711,42.5,1.6
198712,39.3,3.9
198801,30.8,-3.4
198802,32.6,-3.8
198803,41.2,-1.7
198804,49.7,-0.4
198805,53.7,-4.6
198806,63.0,-2.8
198807,68.8,0.0
198808,69.5,1.5
198809,65.3,2.4
198810,46.8,-4.1
198811,44.6,3.7
198812,34.4,-1.0
198901,39.0,4.8
198902,38.1,1.7
198903,46.0,3.1
198904,47.9,-2.2
198905,57.1,-1.2
198906,66.5,0.7
198907,69.5,0.7
198908,67.6,-0.4
198909,63.0,0.1
198910,49.2,-1.7
198911,41.3,0.4
198912,27.6,-7.8
199001,38.6,4.4
199002,43.6,7.2
199003,45.9,3.0
199004,47.8,-2.3
199005,57.8,-0.5
199006,65.5,-0.3
199007,68.4,-0.4
199008,67.9,-0.1
199009,62.5,-0.4
199010,50.3,-0.6
199011,41.6,0.7
199012,39.8,4.4
199101,37.6,3.4
199102,39.3,2.9
199103,44.6,1.7
199104,55.2,5.1
199105,64.3,6.0
199106,66.8,1.0
199107,70.3,1.5
199108,68.4,0.4
199109,62.5,-0.4
199110,51.1,0.2
199111,37.7,-3.2
199112,38.8,3.4
199201,33.9,-0.3
199202,39.3,2.9
199203,42.0,-0.9
199204,48.5,-1.6
199205,55.0,-3.3
199206,64.3,-1.5
199207,69.8,1.0
199208,66.0,-2.0
199209,63.8,0.9
199210,49.4,-1.5
199211,41.6,0.7
199212,38.3,2.9
199301,39.6,5.4
199302,34.7,-1.7
199303,40.4,-2.5
199304,45.9,-4.2
199305,57.3,-1.0
199306,66.1,0.3
199307,70.5,1.7
199308,69.3,1.3
199309,62.2,-0.7
199310,50.8,-0.1
199311,39.2,-1.7
199312,34.9,-0.5
199401,30.8,-3.4
199402,38.3,1.9
199403,42.3,-0.6
199404,51.3,1.2
199405,56.2,-2.1
199406,68.2,2.4
199407,68.5,-0.3
199408,66.8,-1.2
199409,61.0,-1.9
199410,54.2,3.3
199411,46.4,5.5
199412,40.0,4.6
199501,34.9,0.7
199502,36.0,-0.4
199503,46.9,4.0
199504,49.8,-0.3
199505,60.5,2.2
199506,63.7,-2.1
199507,69.5,0.7
199508,71.6,3.6
199509,62.0,-0.9
199510,51.4,0.5
199511,37.5,-3.4
199512,34.1,-1.3
199601,31.7,-2.5
199602,35.4,-1.0
199603,39.0,-3.9
199604,46.3,-3.8
199605,60.5,2.2
199606,66.0,0.2
199607,69.0,0.2
199608,67.7,-0.3
199609,61.3,-1.6
199610,50.9,0.0
199611,41.5,0.6
199612,37.7,2.3
199701,35.8,1.6
199702,40.8,4.4
199703,48.4,5.5
199704,46.1,-4.0
199705,55.1,-3.2
199706,65.0,-0.8
199707,70.0,1.2
199708,67.0,-1.0
199709,62.4,-0.5
199710,50.5,-0.4
199711,39.2,-1.7
199712,34.7,-0.7
199801,37.8,3.6
199802,38.7,2.3
199803,42.1,-0.8
199804,49.7,-0.4
199805,60.8,2.5
199806,69.0,3.2
199807,71.7,2.9
199808,68.7,0.7
199809,66.5,3.6
199810,53.6,2.7
199811,46.2,5.3
199812,42.0,6.6
199901,37.4,3.2
199902,39.9,3.5
199903,39.5,-3.4
199904,54.9,4.8
199905,56.6,-1.7
199906,67.1,1.3
199907,70.5,1.7
199908,69.5,1.5
199909,59.8,-3.1
199910,50.5,-0.4
199911,42.2,1.3
199912,34.6,-0.8
200001,35.9,1.7
200002,38.4,2.0
200003,45.6,2.7
200004,46.8,-3.3
200005,61.6,3.3
200006,65.7,-0.1
200007,68.9,0.1
200008,68.2,0.2
200009,62.6,-0.3
200010,49.6,-1.3
200011,42.0,1.1
200012,28.6,-6.8
200101,29.9,-4.3
200102,41.0,4.6
200103,41.1,-1.8
200104,52.4,2.3
200105,57.8,-0.5
200106,65.6,-0.2
200107,69.4,0.6
200108,68.8,0.8
200109,61.2,-1.7
200110,46.8,-4.1
200111,44.1,3.2
200112,39.1,3.7
200201,35.3,1.1
200202,33.3,-3.1
200203,41.6,-1.3
200204,54.8,4.7
200205,58.2,-0.1
200206,65.9,0.1
200207,69.8,1.0
200208,68.6,0.6
200209,67.7,4.8
200210,59.7,8.8
200211,39.9,-1.0
200212,34.1,-1.3
200301,28.4,-5.8
200302,37.2,0.8
200303,46.9,4.0
200304,50.8,0.7
200305,61.6,3.3
200306,65.7,-0.1
200307,69.2,0.4
200308,69.9,1.9
200309,61.6,-1.3
200310,51.1,0.2
200311,45.6,4.7
200312,31.6,-3.8
200401,32.6,-1.6
200402,36.0,-0.4
200403,45.4,2.5
200404,47.1,-3.0
200405,61.3,3.0
200406,67.9,2.1
200407,68.8,0.0
200408,65.6,-2.4
200409,63.9,1.0
200410,58.5,7.6
200411,48.0,7.1
200412,33.4,-2.0
200501,38.1,3.9
200502,40.8,4.4
200503,41.7,-1.2
200504,47.8,-2.3
200505,55.3,-3.0
200506,66.9,1.1
200507,71.2,2.4
200508,71.0,3.0
200509,65.2,2.3
200510,51.1,0.2
200511,42.7,1.8
200512,31.3,-4.1
200601,39.2,5.0
200602,34.8,-1.6
200603,43.0,0.1
200604,53.7,3.6
200605,58.5,0.2
200606,64.7,-1.1
200607,69.8,1.0
200608,71.0,3.0
200609,60.7,-2.2
200610,48.8,-2.1
200611,39.8,-1.1
200612,36.9,1.5
200701,36.4,2.2
200702,32.1,-4.3
200703,45.4,2.5
200704,46.8,-3.3
200705,57.0,-1.3
200706,65.8,0.0
200707,69.2,0.4
200708,71.9,3.9
200709,64.5,1.6
200710,54.6,3.7
200711,39.9,-1.0
200712,40.6,5.2
