Idaho, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,13.9,0.1
198002,23.1,5.8
198003,23.4,1.0
198004,31.1,1.9
198005,38.7,2.2
198006,42.0,-0.9
198007,49.4,0.2
198008,45.0,-2.6
198009,42.1,2.0
198010,30.7,-1.1
198011,23.8,1.0
198012,21.4,5.2
198101,21.6,7.8
198102,19.3,2.0
198103,25.2,2.8
198104,31.0,1.8
198105,37.6,1.1
198106,42.9,0.0
198107,47.3,-1.9
198108,49.2,1.6
198109,41.0,0.9
198110,30.9,-0.9
198111,26.1,3.3
198112,20.6,4.4
198201,12.6,-1.2
198202,13.4,-3.9
198203,24.8,2.4
198204,24.6,-4.6
198205,34.1,-2.4
198206,43.9,1.0
198207,49.4,0.2
198208,49.5,1.9
198209,41.5,1.4
198210,31.9,0.1
198211,19.6,-3.2
198212,16.5,0.3
198301,21.3,7.5
198302,22.3,5.0
198303,27.7,5.3
198304,26.8,-2.4
198305,35.6,-0.9
198306,42.6,-0.3
198307,47.7,-1.5
198308,52.6,5.0
198309,39.8,-0.3
198310,33.6,1.8
198311,26.8,4.0
198312,10.2,-6.0
198401,12.3,-1.5
198402,14.1,-3.2
198403,24.0,1.6
198404,28.1,-1.1
198405,36.1,-0.4
198406,41.9,-1.0
198407,50.4,1.2
198408,50.6,3.0
198409,38.6,-1.5
198410,29.1,-2.7
198411,24.3,1.5
198412,9.4,-6.8
198501,8.2,-5.6
198502,8.0,-9.3
198503,16.6,-5.8
198504,30.6,1.4
198505,37.8,1.3
198506,43.8,0.9
198507,52.7,3.5
198508,45.2,-2.4
198509,37.7,-2.4
198510,29.5,-2.3
198511,15.0,-7.8
198512,7.0,-9.2
198601,17.2,3.4
198602,23.6,6.3
198603,28.8,6.4
198604,29.9,0.7
198605,36.7,0.2
198606,46.8,3.9
198607,46.6,-2.6
198608,50.2,2.6
198609,39.1,-1.0
198610,32.0,0.2
198611,23.8,1.0
198612,15.2,-1.0
198701,12.3,-1.5
198702,20.7,3.4
198703,25.5,3.1
198704,32.0,2.8
198705,40.4,3.9
198706,45.2,2.3
198707,48.5,-0.7
198708,45.6,-2.0
198709,40.3,0.2
198710,30.8,-1.0
198711,25.0,2.2
198712,16.6,0.4
198801,12.7,-1.1
198802,18.7,1.4
198803,23.0,0.6
198804,31.4,2.2
198805,36.5,0.0
198806,47.3,4.4
198807,50.3,1.1
198808,46.6,-1.0
198809,39.3,-0.8
198810,36.8,5.0
198811,24.5,1.7
198812,14.3,-1.9
198901,12.2,-1.6
198902,9.3,-8.0
198903,25.4,3.0
198904,31.7,2.5
198905,35.8,-0.7
198906,44.0,1.1
198907,51.2,2.0
198908,47.2,-0.4
198909,40.2,0.1
198910,32.5,0.7
198911,24.6,1.8
198912,17.5,1.3
199001,19.5,5.7
199002,14.8,-2.5
199003,24.5,2.1
199004,33.7,4.5
199005,35.4,-1.1
199006,43.3,0.4
199007,50.8,1.6
199008,49.7,2.1
199009,45.5,5.4
199010,30.8,-1.0
199011,24.1,1.3
199012,4.9,-11.3
199101,12.0,-1.8
199102,24.3,7.0
199103,23.3,0.9
199104,28.6,-0.6
199105,35.5,-1.0
199106,41.4,-1.5
199107,50.0,0.8
199108,51.1,3.5
199109,41.9,1.8
199110,31.0,-0.8
199111,22.5,-0.3
199112,17.5,1.3
199201,17.4,3.6
199202,24.8,7.5
199203,28.6,6.2
199204,33.1,3.9
199205,40.3,3.8
199206,46.5,3.6
199207,47.7,-1.5
199208,48.6,1.0
199209,39.4,-0.7
199210,34.6,2.8
199211,20.5,-2.3
199212,12.6,-3.6
199301,10.5,-3.3
199302,13.1,-4.2
199303,25.8,3.4
199304,29.7,0.5
199305,40.5,4.0
199306,41.6,-1.3
199307,43.5,-5.7
199308,45.2,-2.4
199309,38.9,-1.2
199310,33.1,1.3
199311,15.8,-7.0
199312,17.3,1.1
199401,21.2,7.4
199402,15.8,-1.5
199403,24.5,2.1
199404,32.0,2.8
199405,39.7,3.2
199406,43.2,0.3
199407,50.5,1.3
199408,50.0,2.4
199409,42.6,2.5
199410,31.7,-0.1
199411,17.5,-5.3
199412,17.4,1.2
199501,19.6,5.8
199502,23.5,6.2
199503,24.2,1.8
199504,28.8,-0.4
199505,37.0,0.5
199506,42.3,-0.6
199507,48.5,-0.7
199508,46.0,-1.6
199509,41.6,1.5
199510,29.6,-2.2
199511,28.1,5.3
199512,19.4,3.2
199601,16.3,2.5
199602,17.2,-0.1
199603,24.2,1.8
199604,30.1,0.9
199605,35.7,-0.8
199606,43.1,0.2
199607,50.3,1.1
199608,47.6,0.0
199609,38.4,-1.7
199610,31.4,-0.4
199611,24.8,2.0
199612,18.8,2.6
199701,16.4,2.6
199702,17.4,0.1
199703,23.7,1.3
199704,27.5,-1.7
199705,38.5,2.0
199706,44.6,1.7
199707,48.2,-1.0
199708,49.5,1.9
199709,43.8,3.7
199710,31.5,-0.3
199711,24.5,1.7
199712,15.2,-1.0
199801,20.7,6.9
199802,20.8,3.5
199803,24.0,1.6
199804,29.7,0.5
199805,37.4,0.9
199806,41.6,-1.3
199807,53.3,4.1
199808,50.3,2.7
199809,46.4,6.3
199810,31.2,-0.6
199811,27.5,4.7
199812,15.0,-1.2
199901,19.9,6.1
199902,18.4,1.1
199903,22.5,0.1
199904,26.9,-2.3
199905,34.1,-2.4
199906,42.6,-0.3
199907,46.8,-2.4
199908,49.8,2.2
