Illinois, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,19.1,2.3
198002,14.4,-5.9
198003,27.2,-2.8
198004,39.4,-0.9
198005,51.4,0.8
198006,58.6,-1.4
198007,67.2,3.1
198008,66.0,4.1
198009,56.0,1.6
198010,39.0,-3.9
198011,31.7,0.2
198012,22.8,1.4
198101,16.0,-0.8
198102,21.0,0.7
198103,29.9,-0.1
198104,45.9,5.6
198105,47.6,-3.0
198106,62.6,2.6
198107,65.3,1.2
198108,61.9,0.0
198109,53.2,-1.2
198110,41.4,-1.5
198111,34.5,3.0
198112,19.3,-2.1
198201,7.2,-9.6
198202,15.9,-4.4
198203,29.9,-0.1
198204,36.0,-4.3
198205,56.0,5.4
198206,55.9,-4.1
198207,65.6,1.5
198208,60.3,-1.6
198209,53.8,-0.6
198210,42.9,0.0
198211,33.6,2.1
198212,30.7,9.3
198301,22.6,5.8
198302,25.9,5.6
198303,32.8,2.8
198304,37.9,-2.4
198305,48.4,-2.2
198306,60.6,0.6
198307,67.3,3.2
198308,66.4,4.5
198309,54.0,-0.4
198310,44.9,2.0
198311,35.8,4.3
198312,10.3,-11.1
198401,13.8,-3.0
198402,27.1,6.8
198403,26.2,-3.8
198404,41.2,0.9
198405,48.2,-2.4
198406,63.5,3.5
198407,61.6,-2.5
198408,62.5,0.6
198409,52.8,-1.6
198410,48.2,5.3
198411,31.2,-0.3
198412,26.7,5.3
198501,9.3,-7.5
198502,15.9,-4.4
198503,34.6,4.6
198504,45.6,5.3
198505,52.6,2.0
198506,58.3,-1.7
198507,63.1,-1.0
198508,60.3,-1.6
198509,55.5,1.1
198510,45.7,2.8
198511,33.9,2.4
198512,11.5,-9.9
198601,18.2,1.4
198602,20.5,0.2
198603,32.6,2.6
198604,43.1,2.8
198605,53.3,2.7
198606,61.7,1.7
198607,67.5,3.4
198608,57.8,-4.1
198609,58.4,4.0
198610,45.1,2.2
198611,30.0,-1.5
198612,25.2,3.8
198701,19.4,2.6
198702,26.4,6.1
198703,33.8,3.8
198704,40.5,0.2
198705,55.4,4.8
198706,62.8,2.8
198707,66.7,2.6
198708,63.4,1.5
198709,54.0,-0.4
198710,36.4,-6.5
198711,36.7,5.2
198712,27.6,6.2
198801,14.5,-2.3
198802,16.5,-3.8
198803,30.4,0.4
198804,39.0,-1.3
198805,50.2,-0.4
198806,59.0,-1.0
198807,64.9,0.8
198808,66.0,4.1
198809,54.7,0.3
198810,37.1,-5.8
198811,33.0,1.5
198812,21.0,-0.4
198901,26.3,9.5
198902,14.3,-6.0
198903,30.2,0.2
198904,40.1,-0.2
198905,48.2,-2.4
198906,59.5,-0.5
198907,65.2,1.1
198908,61.9,0.0
198909,52.1,-2.3
198910,43.2,0.3
198911,30.0,-1.5
198912,8.4,-13.0
199001,27.2,10.4
199002,26.5,6.2
199003,35.3,5.3
199004,39.8,-0.5
199005,49.2,-1.4
199006,61.3,1.3
199007,64.1,0.0
199008,62.0,0.1
199009,56.8,2.4
199010,40.2,-2.7
199011,36.1,4.6
199012,21.4,0.0
199101,16.3,-0.5
199102,25.7,5.4
199103,33.9,3.9
199104,45.2,4.9
199105,58.5,7.9
199106,63.9,3.9
199107,64.9,0.8
199108,62.9,1.0
199109,54.5,0.1
199110,44.2,1.3
199111,28.9,-2.6
199112,25.4,4.0
199201,23.9,7.1
199202,29.1,8.8
199203,32.7,2.7
199204,40.1,-0.2
199205,48.9,-1.7
199206,56.8,-3.2
199207,63.8,-0.3
199208,57.2,-4.7
199209,53.0,-1.4
199210,41.2,-1.7
199211,34.7,3.2
199212,23.2,1.8
199301,20.5,3.7
199302,18.8,-1.5
199303,28.8,-1.2
199304,39.2,-1.1
199305,52.2,1.6
199306,60.1,0.1
199307,67.6,3.5
199308,65.0,3.1
199309,52.0,-2.4
199310,40.2,-2.7
199311,31.5,0.0
199312,25.0,3.6
199401,12.2,-4.6
199402,18.1,-2.2
199403,30.4,0.4
199404,41.3,1.0
199405,48.0,-2.6
199406,62.3,2.3
199407,63.2,-0.9
199408,59.2,-2.7
199409,53.7,-0.7
199410,45.1,2.2
199411,37.1,5.6
199412,28.3,6.9
199501,18.9,2.1
199502,20.3,0.0
199503,32.8,2.8
199504,38.7,-1.6
199505,50.3,-0.3
199506,61.2,1.2
199507,65.7,1.6
199508,68.7,6.8
199509,51.2,-3.2
199510,42.8,-0.1
199511,26.1,-5.4
199512,19.9,-1.5
199601,15.6,-1.2
199602,20.6,0.3
199603,24.0,-6.0
199604,36.6,-3.7
199605,51.8,1.2
199606,61.4,1.4
199607,61.6,-2.5
199608,62.6,0.7
199609,52.9,-1.5
199610,42.9,0.0
199611,27.5,-4.0
199612,22.9,1.5
199701,12.2,-4.6
199702,26.7,6.4
199703,32.4,2.4
199704,36.2,-4.1
199705,46.1,-4.5
199706,60.6,0.6
199707,64.0,-0.1
199708,60.8,-1.1
199709,54.6,0.2
199710,43.3,0.4
199711,31.4,-0.1
199712,26.3,4.9
199801,25.3,8.5
199802,33.2,12.9
199803,32.9,2.9
199804,42.5,2.2
199805,57.0,6.4
199806,62.0,2.0
199807,65.8,1.7
199808,64.7,2.8
199809,59.0,4.6
199810,45.4,2.5
199811,36.2,4.7
199812,26.1,4.7
199901,16.8,0.0
199902,29.1,8.8
199903,28.0,-2.0
199904,44.5,4.2
199905,52.8,2.2
199906,62.1,2.1
199907,68.0,3.9
199908,60.2,-1.7
199909,50.6,-3.8
199910,41.2,-1.7
199911,36.1,4.6
199912,24.0,2.6
200001,18.6,1.8
200002,28.4,8.1
200003,34.8,4.8
200004,39.3,-1.0
200005,54.3,3.7
200006,60.1,0.1
200007,63.4,-0.7
200008,64.2,2.3
200009,54.0,-0.4
200010,46.3,3.4
200011,30.7,-0.8
200012,9.3,-12.1
200101,18.0,1.2
200102,22.2,1.9
200103,27.4,-2.6
200104,45.5,5.2
200105,53.6,3.0
200106,59.3,-0.7
200107,65.3,1.2
200108,63.7,1.8
200109,52.5,-1.9
200110,43.1,0.2
200111,38.7,7.2
200112,27.9,6.5
200201,24.6,7.8
200202,25.5,5.2
200203,27.9,-2.1
200204,42.7,2.4
200205,48.2,-2.4
200206,63.1,3.1
200207,67.3,3.2
