Indiana, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,20.3,2.3
198002,13.9,-6.4
198003,26.4,-3.1
198004,38.0,-1.3
198005,50.4,0.9
198006,56.5,-2.4
198007,65.7,2.9
198008,65.2,4.6
198009,55.2,1.8
198010,38.6,-3.3
198011,30.3,-1.3
198012,23.3,1.1
198101,14.2,-3.8
198102,21.3,1.0
198103,28.7,-0.8
198104,44.0,4.7
198105,47.1,-2.4
198106,61.6,2.7
198107,64.2,1.4
198108,61.0,0.4
198109,52.9,-0.5
198110,39.9,-2.0
198111,32.5,0.9
198112,19.7,-2.5
198201,8.5,-9.5
198202,16.7,-3.6
198203,29.4,-0.1
198204,34.9,-4.4
198205,54.6,5.1
198206,55.3,-3.6
198207,64.2,1.4
198208,58.5,-2.1
198209,52.9,-0.5
198210,42.5,0.6
198211,34.8,3.2
198212,32.5,10.3
198301,23.2,5.2
198302,24.5,4.2
198303,32.0,2.5
198304,37.7,-1.6
198305,47.0,-2.5
198306,59.1,0.2
198307,65.7,2.9
198308,65.1,4.5
198309,52.8,-0.6
198310,44.4,2.5
198311,35.1,3.5
198312,13.5,-8.7
198401,12.8,-5.2
198402,26.9,6.6
198403,24.1,-5.4
198404,39.6,0.3
198405,47.2,-2.3
198406,62.4,3.5
198407,60.0,-2.8
198408,61.6,1.0
198409,52.2,-1.2
198410,49.1,7.2
198411,30.7,-0.9
198412,29.2,7.0
198501,12.5,-5.5
198502,15.6,-4.7
198503,33.7,4.2
198504,44.6,5.3
198505,51.8,2.3
198506,57.6,-1.3
198507,62.0,-0.8
198508,60.4,-0.2
198509,54.1,0.7
198510,46.5,4.6
198511,38.4,6.8
198512,14.2,-8.0
198601,19.0,1.0
198602,22.8,2.5
198603,31.4,1.9
198604,41.2,1.9
198605,52.5,3.0
198606,60.6,1.7
198607,66.2,3.4
198608,57.4,-3.2
198609,57.2,3.8
198610,44.9,3.0
198611,31.4,-0.2
198612,25.8,3.6
198701,20.2,2.2
198702,25.0,4.7
198703,32.2,2.7
198704,39.4,0.1
198705,53.8,4.3
198706,61.7,2.8
198707,65.4,2.6
198708,62.4,1.8
198709,54.2,0.8
198710,35.2,-6.7
198711,35.6,4.0
198712,28.4,6.2
198801,15.3,-2.7
198802,17.8,-2.5
198803,29.9,0.4
198804,38.1,-1.2
198805,48.7,-0.8
198806,56.9,-2.0
198807,63.7,0.9
198808,64.5,3.9
198809,53.2,-0.2
198810,35.9,-6.0
198811,33.2,1.6
198812,21.1,-1.1
198901,26.3,8.3
198902,18.8,-1.5
198903,29.9,0.4
198904,38.9,-0.4
198905,47.1,-2.4
198906,59.6,0.7
198907,64.5,1.7
198908,61.1,0.5
198909,52.4,-1.0
198910,41.7,-0.2
198911,31.4,-0.2
198912,9.3,-12.9
199001,28.4,10.4
199002,27.6,7.3
199003,35.0,5.5
199004,39.4,0.1
199005,48.9,-0.6
199006,59.4,0.5
199007,62.5,-0.3
199008,60.0,-0.6
199009,55.5,2.1
199010,40.7,-1.2
199011,35.8,4.2
199012,24.1,1.9
199101,19.6,1.6
199102,25.7,5.4
199103,33.4,3.9
199104,44.6,5.3
199105,57.9,8.4
199106,62.5,3.6
199107,64.1,1.3
199108,61.7,1.1
199109,52.8,-0.6
199110,45.1,3.2
199111,30.8,-0.8
199112,26.5,4.3
199201,23.3,5.3
199202,28.6,8.3
199203,31.2,1.7
199204,40.0,0.7
