Iowa, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,12.5,4.1
198002,10.3,-2.7
198003,22.2,-2.3
198004,36.8,0.4
198005,48.1,0.2
198006,57.7,0.0
198007,64.6,2.4
198008,62.4,2.6
198009,51.9,0.8
198010,35.8,-3.7
198011,27.3,1.3
198012,15.4,1.4
198101,11.4,3.0
198102,16.0,3.0
198103,26.9,2.4
198104,42.0,5.6
198105,45.9,-2.0
198106,58.5,0.8
198107,63.5,1.3
198108,59.1,-0.7
198109,50.2,-0.9
198110,38.1,-1.4
198111,30.4,4.4
198112,13.4,-0.6
198201,-2.8,-11.2
198202,10.8,-2.2
198203,23.7,-0.8
198204,32.7,-3.7
198205,52.8,4.9
198206,53.3,-4.4
198207,63.3,1.1
198208,59.8,0.0
198209,51.8,0.7
198210,40.7,1.2
198211,26.1,0.1
198212,20.7,6.7
198301,16.2,7.8
198302,21.6,8.6
198303,28.4,3.9
198304,33.7,-2.7
198305,44.7,-3.2
198306,58.7,1.0
198307,65.6,3.4
198308,65.7,5.9
198309,51.6,0.5
198310,40.8,1.3
198311,30.5,4.5
198312,-0.1,-14.1
198401,8.9,0.5
198402,22.8,9.8
198403,20.6,-3.9
198404,37.3,0.9
198405,45.8,-2.1
198406,59.8,2.1
198407,60.4,-1.8
198408,60.8,1.0
198409,48.5,-2.6
198410,42.0,2.5
198411,27.0,1.0
198412,15.8,1.8
198501,3.8,-4.6
198502,10.6,-2.4
198503,29.8,5.3
198504,41.8,5.4
198505,50.9,3.0
198506,54.4,-3.3
198507,60.5,-1.7
198508,56.9,-2.9
198509,53.2,2.1
198510,40.4,0.9
198511,20.8,-5.2
198512,0.9,-13.1
198601,13.8,5.4
198602,12.1,-0.9
198603,29.1,4.6
198604,40.0,3.6
198605,50.2,2.3
198606,60.4,2.7
198607,65.1,2.9
198608,56.3,-3.5
198609,55.1,4.0
198610,41.2,1.7
198611,21.6,-4.4
198612,19.1,5.1
198701,15.8,7.4
198702,22.7,9.7
198703,30.2,5.7
198704,39.4,3.0
198705,52.6,4.7
198706,60.9,3.2
198707,65.5,3.3
198708,59.8,0.0
198709,51.2,0.1
198710,33.8,-5.7
198711,32.4,6.4
198712,21.5,7.5
198801,5.6,-2.8
198802,8.3,-4.7
198803,25.5,1.0
198804,34.8,-1.6
198805,51.2,3.3
198806,59.8,2.1
198807,62.7,0.5
198808,63.2,3.4
198809,52.0,0.9
198810,33.5,-6.0
198811,27.6,1.6
198812,15.3,1.3
198901,19.9,11.5
198902,3.9,-9.1
198903,23.7,-0.8
198904,36.8,0.4
198905,46.0,-1.9
198906,56.0,-1.7
198907,63.8,1.6
198908,59.9,0.1
198909,48.5,-2.6
198910,39.1,-0.4
198911,21.7,-4.3
198912,4.0,-10.0
199001,19.7,11.3
199002,17.2,4.2
199003,29.8,5.3
199004,36.1,-0.3
199005,45.7,-2.2
199006,60.0,2.3
199007,62.5,0.3
199008,61.7,1.9
199009,54.4,3.3
199010,37.6,-1.9
199011,30.1,4.1
199012,10.6,-3.4
199101,4.0,-4.4
199102,19.4,6.4
199103,28.3,3.8
199104,40.8,4.4
199105,54.7,6.8
199106,62.7,5.0
199107,62.4,0.2
199108,60.6,0.8
199109,50.4,-0.7
199110,37.6,-1.9
199111,20.1,-5.9
199112,19.2,5.2
199201,18.9,10.5
199202,24.7,11.7
199203,28.9,4.4
199204,35.7,-0.7
199205,47.2,-0.7
199206,55.1,-2.6
199207,59.0,-3.2
199208,54.8,-5.0
199209,49.4,-1.7
199210,38.6,-0.9
199211,27.5,1.5
199212,16.4,2.4
199301,9.1,0.7
199302,12.0,-1.0
199303,23.2,-1.3
199304,34.9,-1.5
199305,49.0,1.1
199306,56.8,-0.9
199307,63.5,1.3
199308,62.2,2.4
199309,47.2,-3.9
199310,38.1,-1.4
199311,24.7,-1.3
199312,17.7,3.7
199401,1.4,-7.0
199402,7.5,-5.5
199403,26.4,1.9
199404,36.3,-0.1
199405,47.7,-0.2
199406,60.3,2.6
199407,59.8,-2.4
199408,57.4,-2.4
199409,52.8,1.7
199410,42.8,3.3
199411,30.2,4.2
199412,19.3,5.3
199501,11.0,2.6
199502,15.8,2.8
199503,27.5,3.0
199504,34.2,-2.2
199505,46.3,-1.6
199506,59.7,2.0
199507,62.7,0.5
199508,66.2,6.4
199509,48.4,-2.7
199510,39.4,-0.1
199511,20.7,-5.3
199512,16.5,2.5
199601,6.2,-2.2
199602,13.7,0.7
199603,18.4,-6.1
199604,33.0,-3.4
199605,47.3,-0.6
199606,59.4,1.7
199607,59.8,-2.4
199608,59.4,-0.4
199609,49.9,-1.2
199610,39.6,0.1
199611,21.7,-4.3
199612,12.2,-1.8
199701,5.2,-3.2
199702,17.5,4.5
199703,26.4,1.9
199704,33.1,-3.3
199705,42.3,-5.6
199706,58.7,1.0
199707,63.0,0.8
199708,59.1,-0.7
199709,52.6,1.5
199710,40.4,0.9
199711,25.6,-0.4
199712,21.6,7.6
199801,16.8,8.4
199802,28.5,15.5
199803,25.6,1.1
199804,39.6,3.2
199805,53.8,5.9
199806,57.4,-0.3
199807,63.7,1.5
199808,63.4,3.6
199809,55.7,4.6
199810,42.7,3.2
199811,31.9,5.9
199812,19.2,5.2
199901,9.1,0.7
199902,24.7,11.7
199903,25.6,1.1
199904,40.3,3.9
