Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,19.6,2.4
198002,18.6,-2.6
198003,27.6,-2.0
198004,39.2,-1.2
198005,49.9,-1.0
198006,63.4,2.6
198007,70.2,4.3
198008,67.2,2.9
198009,56.8,1.5
198010,39.7,-3.3
198011,30.3,0.7
198012,23.4,3.0
198101,19.6,2.4
198102,21.8,0.6
198103,32.5,2.9
198104,47.5,7.1
198105,48.9,-2.0
198106,63.1,2.3
198107,68.0,2.1
198108,62.6,-1.7
198109,55.0,-0.3
198110,43.8,0.8
198111,33.2,3.6
198112,22.1,1.7
198201,12.1,-5.1
198202,16.6,-4.6
198203,30.2,0.6
198204,37.9,-2.5
198205,52.8,1.9
198206,56.9,-3.9
198207,66.4,0.5
198208,65.8,1.5
198209,55.7,0.4
198210,41.5,-1.5
198211,28.4,-1.2
198212,23.7,3.3
198301,22.3,5.1
198302,25.8,4.6
198303,32.2,2.6
198304,36.2,-4.2
198305,46.8,-4.1
198306,58.4,-2.4
198307,67.4,1.5
198308,69.4,5.1
198309,56.6,1.3
198310,46.5,3.5
198311,33.2,3.6
198312,7.4,-13.0
198401,16.0,-1.2
198402,26.7,5.5
198403,27.9,-1.7
198404,38.6,-1.8
198405,50.1,-0.8
198406,61.7,0.9
198407,64.8,-1.1
198408,64.9,0.6
198409,52.6,-2.7
198410,43.8,0.8
198411,30.8,1.2
198412,23.4,3.0
198501,13.0,-4.2
198502,17.1,-4.1
198503,34.0,4.4
198504,44.4,4.0
198505,53.0,2.1
198506,57.9,-2.9
198507,65.4,-0.5
198508,62.6,-1.7
198509,55.2,-0.1
198510,43.3,0.3
198511,26.0,-3.6
198512,15.7,-4.7
198601,22.9,5.7
198602,23.6,2.4
198603,35.4,5.8
198604,42.9,2.5
198605,51.8,0.9
198606,63.8,3.0
198607,68.1,2.2
198608,62.8,-1.5
198609,59.2,3.9
198610,44.4,1.4
198611,26.6,-3.0
198612,23.7,3.3
198701,20.5,3.3
198702,29.2,8.0
198703,32.0,2.4
198704,40.7,0.3
198705,55.9,5.0
198706,62.0,1.2
198707,66.1,0.2
198708,63.8,-0.5
198709,54.0,-1.3
198710,39.3,-3.7
198711,33.8,4.2
198712,23.5,3.1
198801,14.6,-2.6
198802,18.9,-2.3
198803,29.1,-0.5
198804,38.4,-2.0
198805,53.1,2.2
198806,63.1,2.3
198807,65.4,-0.5
198808,65.7,1.4
198809,55.1,-0.2
198810,40.6,-2.4
198811,31.0,1.4
198812,22.3,1.9
198901,22.6,5.4
